Frecuencia (Hz)	volumen (dB)
86,132813	-62,438648
172,265625	-42,457981
258,398438	-38,622860
344,531250	-37,571724
430,664063	-27,348921
516,796875	-26,759834
602,929688	-28,421251
689,062500	-22,478544
775,195313	-24,127853
861,328125	-28,584475
947,460938	-27,389292
1033,593750	-24,143486
1119,726563	-18,008055
1205,859375	-20,698423
1291,992188	-27,822037
1378,125000	-31,199610
1464,257813	-31,612900
1550,390625	-29,858866
1636,523438	-29,945322
1722,656250	-27,915529
1808,789063	-28,380928
1894,921875	-33,274582
1981,054688	-37,766338
2067,187500	-40,636593
2153,320313	-48,360523
2239,453125	-49,059795
2325,585938	-49,862049
2411,718750	-47,784386
2497,851563	-46,161247
2583,984375	-46,988552
2670,117188	-44,328465
2756,250000	-40,830002
2842,382813	-38,451145
2928,515625	-39,179752
3014,648438	-41,452301
3100,781250	-42,710312
3186,914063	-43,995762
3273,046875	-46,992134
3359,179688	-47,110821
3445,312500	-50,933544
3531,445313	-53,321102
3617,578125	-50,185997
3703,710938	-50,385639
3789,843750	-50,381252
3875,976563	-53,506180
3962,109375	-56,263035
4048,242188	-55,567051
4134,375000	-60,213505
4220,507813	-64,416245
4306,640625	-62,860710
4392,773438	-58,523949
4478,906250	-55,921825
4565,039063	-56,087933
4651,171875	-55,508327
4737,304688	-56,755634
4823,437500	-61,175888
4909,570313	-60,840614
4995,703125	-60,078407
5081,835938	-59,302456
5167,968750	-61,113995
5254,101563	-63,900928
5340,234375	-63,405304
5426,367188	-64,050484
5512,500000	-62,353367
5598,632813	-59,000065
5684,765625	-61,469582
5770,898438	-63,828373
5857,031250	-65,918594
5943,164063	-72,804947
6029,296875	-71,872742
6115,429688	-71,256454
6201,562500	-70,273071
6287,695313	-68,757446
6373,828125	-64,846077
6459,960938	-61,377079
6546,093750	-60,544281
6632,226563	-62,565750
6718,359375	-59,452755
6804,492188	-57,398983
6890,625000	-55,709538
6976,757813	-56,159420
7062,890625	-54,829594
7149,023438	-52,724369
7235,156250	-52,289551
7321,289063	-49,639286
7407,421875	-48,101929
7493,554688	-49,135517
7579,687500	-48,648163
7665,820313	-48,990162
7751,953125	-50,318005
7838,085938	-50,225502
7924,218750	-52,649147
8010,351563	-54,229164
8096,484375	-56,315063
8182,617188	-58,637413
8268,750000	-55,741745
8354,882813	-53,785938
8441,015625	-54,284222
8527,148438	-53,510342
8613,281250	-53,466904
8699,414063	-54,234833
8785,546875	-56,069874
8871,679688	-57,498871
8957,812500	-54,572243
9043,945313	-53,250469
9130,078125	-54,498955
9216,210938	-53,598473
9302,343750	-51,339195
9388,476563	-51,746544
9474,609375	-51,175026
9560,742188	-52,187241
9646,875000	-55,075634
9733,007813	-57,075855
9819,140625	-59,641438
9905,273438	-61,537926
9991,406250	-62,056149
10077,539063	-59,820541
10163,671875	-54,980534
10249,804688	-52,806774
10335,937500	-52,424328
10422,070313	-52,858768
10508,203125	-52,554710
10594,335938	-52,262291
10680,468750	-53,960312
10766,601563	-54,774811
10852,734375	-54,137032
10938,867188	-52,590244
11025,000000	-52,663616
11111,132813	-54,334011
11197,265625	-54,246342
11283,398438	-54,693890
11369,531250	-55,375603
11455,664063	-55,091721
11541,796875	-56,369659
11627,929688	-57,545784
11714,062500	-58,346378
11800,195313	-59,810299
11886,328125	-60,046406
11972,460938	-60,224796
12058,593750	-59,686310
12144,726563	-58,054714
12230,859375	-57,976894
12316,992188	-60,144600
12403,125000	-64,275459
12489,257813	-64,275742
12575,390625	-63,537235
12661,523438	-61,261345
12747,656250	-61,213722
12833,789063	-62,129333
12919,921875	-63,170704
13006,054688	-62,376823
13092,187500	-60,891605
13178,320313	-60,526649
13264,453125	-61,299618
13350,585938	-60,860592
13436,718750	-60,015190
13522,851563	-61,017300
13608,984375	-62,089546
13695,117188	-65,019257
13781,250000	-72,049225
13867,382813	-79,551346
13953,515625	-82,346504
14039,648438	-78,805626
14125,781250	-76,604691
14211,914063	-77,187073
14298,046875	-78,526978
14384,179688	-81,740471
14470,312500	-84,133797
14556,445313	-84,027481
14642,578125	-85,320213
14728,710938	-84,860039
14814,843750	-84,370674
14900,976563	-84,229088
14987,109375	-84,216011
15073,242188	-83,954529
15159,375000	-84,539284
15245,507813	-85,702667
15331,640625	-84,810997
15417,773438	-84,731400
15503,906250	-83,729126
15590,039063	-83,690140
15676,171875	-83,740364
15762,304688	-83,594124
15848,437500	-82,163086
15934,570313	-78,823135
16020,703125	-77,621033
16106,835938	-76,740189
16192,968750	-75,785378
16279,101563	-75,061432
16365,234375	-75,118027
16451,367188	-74,920479
16537,500000	-74,368721
16623,632813	-75,980293
16709,765625	-79,806427
16795,898438	-82,533150
16882,031250	-83,502007
16968,164063	-84,431938
17054,296875	-84,402260
17140,429688	-84,530663
17226,562500	-84,732117
17312,695313	-83,958382
17398,828125	-84,114082
17484,960938	-83,162804
17571,093750	-82,049232
17657,226563	-82,143867
17743,359375	-81,677742
17829,492188	-81,583122
17915,625000	-81,913467
18001,757813	-82,151283
18087,890625	-82,859535
18174,023438	-83,138962
18260,156250	-81,919327
18346,289063	-82,842995
18432,421875	-82,438744
18518,554688	-83,334053
18604,687500	-83,876274
18690,820313	-83,326683
18776,953125	-83,406815
18863,085938	-83,074974
18949,218750	-82,941956
19035,351563	-83,946342
19121,484375	-83,758553
19207,617188	-83,053757
19293,750000	-82,344627
19379,882813	-81,898399
19466,015625	-81,406380
19552,148438	-80,675934
19638,281250	-80,571571
19724,414063	-81,491859
19810,546875	-81,647095
19896,679688	-82,791031
19982,812500	-82,153938
20068,945313	-81,711479
20155,078125	-81,129944
20241,210938	-82,259598
20327,343750	-82,470993
20413,476563	-82,461952
20499,609375	-82,354630
20585,742188	-81,914787
20671,875000	-83,077034
20758,007813	-84,873543
20844,140625	-84,201866
20930,273438	-83,812561
