Frecuencia (Hz)	volumen (dB)
86,132813	-58,034065
172,265625	-40,405041
258,398438	-36,281452
344,531250	-24,593191
430,664063	-15,826859
516,796875	-16,031115
602,929688	-21,269880
689,062500	-25,600464
775,195313	-33,156693
861,328125	-46,090546
947,460938	-49,654747
1033,593750	-54,537781
1119,726563	-53,034584
1205,859375	-53,315083
1291,992188	-52,790909
1378,125000	-55,362865
1464,257813	-56,720154
1550,390625	-53,627232
1636,523438	-52,535191
1722,656250	-50,246628
1808,789063	-50,776577
1894,921875	-49,761593
1981,054688	-48,917141
2067,187500	-49,137154
2153,320313	-45,695625
2239,453125	-44,192177
2325,585938	-39,569901
2411,718750	-35,622944
2497,851563	-33,523312
2583,984375	-30,982708
2670,117188	-32,093224
2756,250000	-35,643654
2842,382813	-34,734161
2928,515625	-35,907330
3014,648438	-35,922970
3100,781250	-33,550522
3186,914063	-33,040680
3273,046875	-32,261894
3359,179688	-34,143543
3445,312500	-39,991138
3531,445313	-41,931252
3617,578125	-41,594959
3703,710938	-43,326096
3789,843750	-44,428654
3875,976563	-47,562737
3962,109375	-45,826130
4048,242188	-44,013603
4134,375000	-46,461487
4220,507813	-50,323254
4306,640625	-48,541264
4392,773438	-47,338055
4478,906250	-45,967285
4565,039063	-45,993637
4651,171875	-48,604141
4737,304688	-49,903503
4823,437500	-51,374195
4909,570313	-53,049541
4995,703125	-52,788780
5081,835938	-54,736263
5167,968750	-58,163471
5254,101563	-58,203396
5340,234375	-60,778408
5426,367188	-62,901505
5512,500000	-61,717861
5598,632813	-62,537292
5684,765625	-59,752235
5770,898438	-56,943336
5857,031250	-53,714893
5943,164063	-51,417591
6029,296875	-51,233746
6115,429688	-51,309963
6201,562500	-51,464897
6287,695313	-53,845566
6373,828125	-52,804939
6459,960938	-50,948330
6546,093750	-50,729637
6632,226563	-52,130344
6718,359375	-53,319534
6804,492188	-52,154404
6890,625000	-50,607136
6976,757813	-48,295353
7062,890625	-46,592545
7149,023438	-45,870594
7235,156250	-47,372013
7321,289063	-49,234108
7407,421875	-46,812958
7493,554688	-46,932484
7579,687500	-45,953754
7665,820313	-44,590721
7751,953125	-45,775089
7838,085938	-44,915520
7924,218750	-45,456280
8010,351563	-44,600872
8096,484375	-43,186584
8182,617188	-43,790108
8268,750000	-41,740181
8354,882813	-42,140541
8441,015625	-43,408936
8527,148438	-43,523407
8613,281250	-45,461033
8699,414063	-47,549286
8785,546875	-48,406124
8871,679688	-47,724594
8957,812500	-47,806923
9043,945313	-48,319000
9130,078125	-49,420170
9216,210938	-50,547955
9302,343750	-48,567440
9388,476563	-49,870415
9474,609375	-53,012505
9560,742188	-53,252434
9646,875000	-53,354561
9733,007813	-54,778870
9819,140625	-52,614101
9905,273438	-51,687405
9991,406250	-50,941025
10077,539063	-51,803604
10163,671875	-52,468212
10249,804688	-50,229557
10335,937500	-51,585827
10422,070313	-52,965267
10508,203125	-51,766174
10594,335938	-51,112621
10680,468750	-48,436920
10766,601563	-47,159286
10852,734375	-47,876396
10938,867188	-49,620026
11025,000000	-53,236813
11111,132813	-57,299606
11197,265625	-57,454533
11283,398438	-58,277851
11369,531250	-62,224800
11455,664063	-61,253021
11541,796875	-59,958870
11627,929688	-60,473988
11714,062500	-64,934654
11800,195313	-66,032509
11886,328125	-65,147110
11972,460938	-64,413971
12058,593750	-64,997948
12144,726563	-65,460449
12230,859375	-64,974701
12316,992188	-61,438847
12403,125000	-58,787682
12489,257813	-60,706253
12575,390625	-63,720737
12661,523438	-65,198326
12747,656250	-68,234993
12833,789063	-68,351860
12919,921875	-67,513123
13006,054688	-69,908440
13092,187500	-68,635078
13178,320313	-67,931641
13264,453125	-67,274734
13350,585938	-69,205437
13436,718750	-72,902618
13522,851563	-77,823029
13608,984375	-82,202843
13695,117188	-84,588470
13781,250000	-84,592354
13867,382813	-84,928078
13953,515625	-85,060310
14039,648438	-84,632912
14125,781250	-83,790047
14211,914063	-82,857140
14298,046875	-80,266083
14384,179688	-79,450180
14470,312500	-79,515053
14556,445313	-77,976250
14642,578125	-76,873245
14728,710938	-73,206490
14814,843750	-72,652382
14900,976563	-78,601807
14987,109375	-82,724327
15073,242188	-85,003807
15159,375000	-84,868217
15245,507813	-84,043190
15331,640625	-83,339928
15417,773438	-81,837868
15503,906250	-78,348328
15590,039063	-76,566429
15676,171875	-76,178391
15762,304688	-76,194107
15848,437500	-77,781487
15934,570313	-79,230484
16020,703125	-81,837593
16106,835938	-83,597778
16192,968750	-84,198143
16279,101563	-85,018776
16365,234375	-84,861542
16451,367188	-84,282967
16537,500000	-84,645508
16623,632813	-84,140640
16709,765625	-83,664650
16795,898438	-83,047050
16882,031250	-83,053970
16968,164063	-82,526413
17054,296875	-83,400452
17140,429688	-83,903793
17226,562500	-84,943962
17312,695313	-85,192192
17398,828125	-84,354759
17484,960938	-83,953712
17571,093750	-85,392151
17657,226563	-84,696487
17743,359375	-84,017036
17829,492188	-84,570793
17915,625000	-84,887718
18001,757813	-84,460175
18087,890625	-85,143372
18174,023438	-83,881638
18260,156250	-83,524261
18346,289063	-83,753174
18432,421875	-83,487938
18518,554688	-83,830757
18604,687500	-83,698196
18690,820313	-83,286346
18776,953125	-83,426758
