Frecuencia (Hz)	volumen (dB)
86,132813	-58,099194
172,265625	-39,624908
258,398438	-35,952560
344,531250	-34,300671
430,664063	-27,081614
516,796875	-28,335426
602,929688	-39,365749
689,062500	-52,079025
775,195313	-56,625408
861,328125	-57,020012
947,460938	-54,066994
1033,593750	-55,820358
1119,726563	-58,481152
1205,859375	-61,149010
1291,992188	-64,759453
1378,125000	-65,701881
1464,257813	-66,240936
1550,390625	-66,081047
1636,523438	-64,940071
1722,656250	-63,189857
1808,789063	-62,517799
1894,921875	-62,694714
1981,054688	-64,411964
2067,187500	-62,762825
2153,320313	-62,134331
2239,453125	-62,428074
2325,585938	-58,047405
2411,718750	-56,989571
2497,851563	-53,723480
2583,984375	-50,302582
2670,117188	-45,368229
2756,250000	-38,349743
2842,382813	-35,010738
2928,515625	-32,903885
3014,648438	-30,882214
3100,781250	-31,995415
3186,914063	-34,858974
3273,046875	-35,290691
3359,179688	-36,502724
3445,312500	-37,574799
3531,445313	-37,107590
3617,578125	-35,593208
3703,710938	-34,965702
3789,843750	-36,704025
3875,976563	-41,185276
3962,109375	-41,426231
4048,242188	-41,022480
4134,375000	-43,550613
4220,507813	-48,242023
4306,640625	-44,988495
4392,773438	-42,568268
4478,906250	-41,095097
4565,039063	-42,146152
4651,171875	-43,126274
4737,304688	-44,365414
4823,437500	-46,071396
4909,570313	-46,010262
4995,703125	-46,855392
5081,835938	-48,826153
5167,968750	-48,628151
5254,101563	-49,810696
5340,234375	-49,953842
5426,367188	-49,457684
5512,500000	-51,451412
5598,632813	-54,951870
5684,765625	-58,988773
5770,898438	-63,126633
5857,031250	-62,359749
5943,164063	-59,791565
6029,296875	-58,752132
6115,429688	-57,797279
6201,562500	-57,172779
6287,695313	-61,005711
6373,828125	-58,655636
6459,960938	-52,118942
6546,093750	-47,428799
6632,226563	-44,238838
6718,359375	-42,129333
6804,492188	-41,993809
6890,625000	-43,842690
6976,757813	-47,074459
7062,890625	-47,879921
7149,023438	-46,353508
7235,156250	-45,367050
7321,289063	-43,617138
7407,421875	-42,518787
7493,554688	-41,199352
7579,687500	-40,691963
7665,820313	-39,838913
7751,953125	-39,407619
7838,085938	-38,977207
7924,218750	-37,327335
8010,351563	-37,415886
8096,484375	-37,852989
8182,617188	-38,339077
8268,750000	-39,464211
8354,882813	-39,698792
8441,015625	-41,887436
8527,148438	-46,877682
8613,281250	-48,855858
8699,414063	-48,851837
8785,546875	-45,976372
8871,679688	-45,265480
8957,812500	-48,116348
9043,945313	-49,822327
9130,078125	-52,290432
9216,210938	-51,631084
9302,343750	-49,197659
9388,476563	-49,744350
9474,609375	-50,085625
9560,742188	-51,025581
9646,875000	-53,360489
9733,007813	-52,689022
9819,140625	-52,964649
9905,273438	-55,192528
9991,406250	-54,700191
10077,539063	-54,916679
10163,671875	-55,986664
10249,804688	-55,986710
10335,937500	-53,764027
10422,070313	-52,568901
10508,203125	-53,278759
10594,335938	-53,805744
10680,468750	-51,821945
10766,601563	-48,244678
10852,734375	-47,271996
10938,867188	-49,316093
11025,000000	-50,270203
11111,132813	-52,236877
11197,265625	-55,839420
11283,398438	-58,560165
11369,531250	-60,457935
11455,664063	-66,060463
11541,796875	-73,842041
11627,929688	-75,897049
11714,062500	-69,255447
11800,195313	-64,321472
11886,328125	-62,974545
11972,460938	-64,254227
12058,593750	-64,647461
12144,726563	-65,426987
12230,859375	-63,543930
12316,992188	-63,433147
12403,125000	-63,196541
12489,257813	-61,523323
12575,390625	-62,224129
12661,523438	-65,292465
12747,656250	-69,933350
12833,789063	-77,069801
12919,921875	-78,912247
13006,054688	-78,802704
13092,187500	-80,460930
13178,320313	-82,707085
13264,453125	-83,717911
13350,585938	-84,505379
13436,718750	-84,154999
13522,851563	-84,354530
13608,984375	-83,577385
13695,117188	-83,849632
13781,250000	-84,974815
13867,382813	-85,143265
13953,515625	-84,639755
14039,648438	-84,028801
14125,781250	-84,438690
14211,914063	-84,416862
14298,046875	-84,493523
14384,179688	-82,978157
14470,312500	-83,043556
14556,445313	-85,662369
14642,578125	-85,737923
14728,710938	-85,145500
14814,843750	-84,333450
14900,976563	-84,682861
14987,109375	-83,982872
15073,242188	-83,245255
15159,375000	-82,678398
15245,507813	-83,741615
15331,640625	-84,268562
15417,773438	-83,613777
15503,906250	-83,390678
15590,039063	-83,605545
15676,171875	-83,776947
15762,304688	-82,970543
15848,437500	-82,792763
15934,570313	-82,874413
16020,703125	-81,716026
16106,835938	-82,661049
16192,968750	-84,101639
16279,101563	-84,217186
16365,234375	-84,659996
16451,367188	-83,986382
16537,500000	-83,832100
16623,632813	-84,369041
16709,765625	-83,981422
16795,898438	-83,656616
16882,031250	-82,981674
16968,164063	-83,470543
17054,296875	-83,777252
17140,429688	-83,816650
17226,562500	-83,511124
17312,695313	-82,542137
17398,828125	-82,929581
17484,960938	-83,551376
17571,093750	-83,618805
17657,226563	-83,197273
17743,359375	-83,370300
17829,492188	-83,982666
17915,625000	-83,576233
18001,757813	-82,337120
18087,890625	-81,110428
18174,023438	-81,462616
18260,156250	-82,200142
18346,289063	-81,932838
18432,421875	-81,694870
18518,554688	-81,992355
18604,687500	-82,203392
18690,820313	-82,817787
18776,953125	-83,020966
18863,085938	-82,026291
