Frecuencia (Hz)	volumen (dB)
86,132813	-64,202385
172,265625	-45,039345
258,398438	-39,202122
344,531250	-29,132240
430,664063	-20,912283
516,796875	-18,720211
602,929688	-19,592196
689,062500	-21,738134
775,195313	-26,414753
861,328125	-28,954271
947,460938	-30,355476
1033,593750	-32,324635
1119,726563	-32,204948
1205,859375	-36,712875
1291,992188	-45,069748
1378,125000	-50,654613
1464,257813	-55,811630
1550,390625	-56,856045
1636,523438	-59,204456
1722,656250	-65,752930
1808,789063	-66,715469
1894,921875	-68,618629
1981,054688	-68,585381
2067,187500	-68,972839
2153,320313	-71,004753
2239,453125	-69,788567
2325,585938	-67,262688
2411,718750	-65,336510
2497,851563	-62,954273
2583,984375	-56,170956
2670,117188	-50,020000
2756,250000	-45,852200
2842,382813	-45,927551
2928,515625	-50,775486
3014,648438	-58,635147
3100,781250	-60,769627
3186,914063	-59,037659
3273,046875	-54,112190
3359,179688	-52,082947
3445,312500	-52,607922
3531,445313	-44,041046
3617,578125	-42,994991
3703,710938	-48,058411
3789,843750	-52,157635
3875,976563	-60,033047
3962,109375	-67,551971
4048,242188	-68,801079
4134,375000	-73,941437
4220,507813	-75,827278
4306,640625	-62,636398
4392,773438	-51,464912
4478,906250	-47,263908
4565,039063	-47,196243
4651,171875	-49,552471
4737,304688	-54,151451
4823,437500	-60,108906
4909,570313	-66,953682
4995,703125	-75,439796
5081,835938	-80,061966
5167,968750	-80,991470
5254,101563	-82,322624
5340,234375	-82,254471
5426,367188	-82,520058
5512,500000	-82,889038
5598,632813	-83,242073
5684,765625	-83,252464
5770,898438	-83,576561
5857,031250	-80,319321
5943,164063	-73,055771
6029,296875	-66,627724
6115,429688	-62,843746
6201,562500	-58,971413
6287,695313	-56,291294
6373,828125	-56,023754
6459,960938	-54,735065
6546,093750	-55,166237
6632,226563	-60,209774
6718,359375	-66,544212
6804,492188	-74,032478
6890,625000	-80,563484
6976,757813	-82,725288
7062,890625	-82,593498
7149,023438	-83,812622
7235,156250	-83,248558
7321,289063	-82,471069
7407,421875	-81,055786
7493,554688	-76,382881
7579,687500	-70,257126
7665,820313	-65,612770
7751,953125	-62,606583
7838,085938	-59,891029
7924,218750	-57,849258
8010,351563	-54,977959
8096,484375	-55,948879
8182,617188	-59,521412
8268,750000	-62,943661
8354,882813	-70,091751
8441,015625	-74,510246
8527,148438	-71,544167
8613,281250	-68,662430
8699,414063	-66,109230
8785,546875	-64,250099
8871,679688	-61,087128
8957,812500	-60,887924
9043,945313	-58,580643
9130,078125	-56,466919
9216,210938	-54,523212
9302,343750	-54,025440
9388,476563	-52,555370
9474,609375	-53,132957
9560,742188	-56,511395
9646,875000	-57,160233
9733,007813	-58,658978
9819,140625	-59,541046
9905,273438	-62,711132
9991,406250	-66,097885
10077,539063	-65,127365
10163,671875	-62,236645
10249,804688	-61,574413
10335,937500	-62,319065
10422,070313	-62,033527
10508,203125	-61,509838
10594,335938	-60,202053
10680,468750	-60,157913
10766,601563	-59,283569
10852,734375	-58,609726
10938,867188	-58,769485
11025,000000	-60,717815
11111,132813	-62,142872
11197,265625	-64,452248
11283,398438	-67,566101
11369,531250	-68,416153
11455,664063	-72,056091
11541,796875	-77,779282
11627,929688	-83,003212
11714,062500	-83,544762
11800,195313	-84,233459
11886,328125	-84,275352
11972,460938	-84,294769
12058,593750	-83,715027
12144,726563	-85,210678
12230,859375	-86,042564
12316,992188	-87,021088
12403,125000	-86,183640
12489,257813	-85,708801
12575,390625	-85,685844
12661,523438	-85,441048
12747,656250	-86,946396
12833,789063	-85,460373
12919,921875	-84,639816
13006,054688	-85,486603
13092,187500	-85,442558
13178,320313	-84,466484
13264,453125	-84,463463
13350,585938	-84,810516
13436,718750	-84,429016
13522,851563	-84,469170
13608,984375	-86,153473
13695,117188	-81,925644
13781,250000	-80,282272
13867,382813	-82,870544
13953,515625	-81,005943
14039,648438	-82,292900
14125,781250	-84,161880
14211,914063	-83,550720
14298,046875	-84,068642
14384,179688	-85,433060
14470,312500	-84,362183
14556,445313	-84,191925
14642,578125	-84,527626
14728,710938	-84,036736
14814,843750	-83,920448
14900,976563	-83,675644
14987,109375	-85,068970
15073,242188	-85,869545
15159,375000	-85,495041
15245,507813	-85,006516
15331,640625	-83,483833
15417,773438	-84,331253
15503,906250	-86,159615
15590,039063	-87,195618
15676,171875	-87,487305
15762,304688	-86,671135
15848,437500	-85,240196
15934,570313	-85,741531
16020,703125	-85,530312
16106,835938	-85,585487
16192,968750	-85,684731
16279,101563	-85,055084
16365,234375	-85,748085
16451,367188	-85,714073
16537,500000	-85,392029
16623,632813	-85,352554
16709,765625	-85,640289
16795,898438	-85,619049
16882,031250	-84,325783
16968,164063	-84,551453
17054,296875	-85,713982
17140,429688	-85,613937
17226,562500	-85,187836
17312,695313	-84,106178
17398,828125	-83,896683
17484,960938	-83,773872
17571,093750	-83,945534
17657,226563	-83,634697
17743,359375	-84,256592
17829,492188	-84,435310
17915,625000	-84,520622
18001,757813	-84,548508
18087,890625	-83,793381
18174,023438	-84,055931
18260,156250	-84,245216
18346,289063	-84,058571
18432,421875	-84,334015
18518,554688	-85,403114
18604,687500	-85,334915
18690,820313	-84,001801
18776,953125	-83,968758
18863,085938	-83,107407
18949,218750	-83,393799
19035,351563	-85,185905
19121,484375	-84,204552
19207,617188	-83,439606
19293,750000	-83,392815
19379,882813	-83,534477
19466,015625	-83,525330
19552,148438	-84,014923
19638,281250	-83,779419
19724,414063	-82,429100
19810,546875	-82,170967
19896,679688	-83,045158
19982,812500	-84,187042
20068,945313	-83,583084
20155,078125	-83,176285
20241,210938	-84,184769
20327,343750	-83,806175
20413,476563	-83,124039
20499,609375	-82,614868
20585,742188	-83,019035
20671,875000	-84,390800
20758,007813	-84,852158
20844,140625	-85,109528
20930,273438	-85,304001
21016,406250	-84,140869
21102,539063	-84,779755
21188,671875	-84,678223
21274,804688	-85,624504
21360,937500	-87,196083
21447,070313	-87,518364
21533,203125	-88,795654
21619,335938	-90,148773
21705,468750	-89,739693
21791,601563	-89,578873
21877,734375	-90,188736
21963,867188	-89,678535
