Frecuencia (Hz)	volumen (dB)
86,132813	-58,299545
172,265625	-46,165478
258,398438	-41,111404
344,531250	-21,153015
430,664063	-17,513929
516,796875	-25,756212
602,929688	-36,133904
689,062500	-39,379059
775,195313	-36,330688
861,328125	-35,765785
947,460938	-47,666100
1033,593750	-61,391659
1119,726563	-63,026653
1205,859375	-66,585190
1291,992188	-69,292358
1378,125000	-68,998878
1464,257813	-67,507553
1550,390625	-69,821999
1636,523438	-70,788177
1722,656250	-70,497467
1808,789063	-71,645981
1894,921875	-71,980164
1981,054688	-69,795959
2067,187500	-65,096489
2153,320313	-69,882568
2239,453125	-71,831070
2325,585938	-70,141281
2411,718750	-71,462219
2497,851563	-70,931404
2583,984375	-71,256676
2670,117188	-67,059662
2756,250000	-66,385948
2842,382813	-68,945694
2928,515625	-70,965202
3014,648438	-73,534760
3100,781250	-73,165375
3186,914063	-72,981552
3273,046875	-71,832169
3359,179688	-71,402222
3445,312500	-72,869347
3531,445313	-63,294418
3617,578125	-55,897789
3703,710938	-54,071999
3789,843750	-57,694641
3875,976563	-66,027069
3962,109375	-67,548630
4048,242188	-62,484116
4134,375000	-60,748325
4220,507813	-65,907242
4306,640625	-76,086937
4392,773438	-78,560066
4478,906250	-79,443649
4565,039063	-79,748230
4651,171875	-80,207138
4737,304688	-78,486305
4823,437500	-78,085335
4909,570313	-78,763748
4995,703125	-79,545868
5081,835938	-80,675369
5167,968750	-82,444534
5254,101563	-82,129562
5340,234375	-82,094788
5426,367188	-82,205841
5512,500000	-82,321259
5598,632813	-81,558815
5684,765625	-81,302399
5770,898438	-82,748772
5857,031250	-83,016754
5943,164063	-81,253387
6029,296875	-81,451035
6115,429688	-82,489937
6201,562500	-81,913742
6287,695313	-82,123543
6373,828125	-78,940315
6459,960938	-79,067566
6546,093750	-80,864189
6632,226563	-80,583336
6718,359375	-79,911926
6804,492188	-80,360924
6890,625000	-82,058159
6976,757813	-82,384926
7062,890625	-82,176765
7149,023438	-81,129669
7235,156250	-80,445717
7321,289063	-81,366013
7407,421875	-81,225807
7493,554688	-79,741684
7579,687500	-80,235558
7665,820313	-78,410820
7751,953125	-78,009560
7838,085938	-78,571983
7924,218750	-79,959122
8010,351563	-77,373962
8096,484375	-77,751778
8182,617188	-79,399513
8268,750000	-81,123947
8354,882813	-82,281258
8441,015625	-82,789619
8527,148438	-81,787346
8613,281250	-80,139915
8699,414063	-79,112755
8785,546875	-77,361725
8871,679688	-77,836617
8957,812500	-80,082672
9043,945313	-78,803284
