Frecuencia (Hz)	volumen (dB)
86,132813	-83,476051
172,265625	-70,570023
258,398438	-61,784977
344,531250	-49,564335
430,664063	-43,028454
516,796875	-41,755936
602,929688	-35,138546
689,062500	-29,978645
775,195313	-26,625845
861,328125	-27,087490
947,460938	-30,717867
1033,593750	-35,507957
1119,726563	-31,467278
1205,859375	-28,072409
1291,992188	-29,192781
1378,125000	-33,166382
1464,257813	-39,227619
1550,390625	-46,239491
1636,523438	-54,493462
1722,656250	-62,968319
1808,789063	-64,594528
1894,921875	-65,164406
1981,054688	-62,653450
2067,187500	-58,802845
2153,320313	-57,618305
2239,453125	-55,535332
2325,585938	-52,071144
2411,718750	-49,312618
2497,851563	-47,230099
2583,984375	-43,597931
2670,117188	-40,318523
2756,250000	-39,561485
2842,382813	-43,533794
2928,515625	-47,358273
3014,648438	-49,643822
3100,781250	-51,051140
3186,914063	-52,424118
3273,046875	-56,980900
3359,179688	-60,921211
3445,312500	-62,463535
3531,445313	-62,896523
3617,578125	-60,848118
3703,710938	-57,653629
3789,843750	-57,438969
3875,976563	-57,882122
3962,109375	-58,413609
4048,242188	-57,159821
4134,375000	-57,697777
4220,507813	-57,769108
4306,640625	-57,204632
4392,773438	-56,473156
4478,906250	-53,793320
4565,039063	-51,705223
4651,171875	-51,729286
4737,304688	-53,908676
4823,437500	-56,144394
4909,570313	-59,833225
4995,703125	-65,321526
5081,835938	-65,943085
5167,968750	-64,666962
5254,101563	-63,049427
5340,234375	-60,146496
5426,367188	-57,840073
5512,500000	-56,843571
5598,632813	-53,001518
5684,765625	-50,468838
5770,898438	-48,654968
5857,031250	-47,548176
5943,164063	-48,134930
6029,296875	-49,279278
6115,429688	-51,500561
6201,562500	-54,928188
6287,695313	-58,022030
6373,828125	-55,285854
6459,960938	-54,412331
6546,093750	-52,081909
6632,226563	-51,241943
6718,359375	-53,322632
6804,492188	-52,767841
6890,625000	-52,342480
6976,757813	-54,508831
7062,890625	-54,103535
7149,023438	-50,807354
7235,156250	-47,857414
7321,289063	-47,857426
7407,421875	-49,489677
7493,554688	-49,956303
7579,687500	-52,355049
7665,820313	-54,330250
7751,953125	-56,611473
7838,085938	-58,105011
7924,218750	-59,708210
8010,351563	-61,558762
8096,484375	-59,595974
8182,617188	-59,799088
8268,750000	-58,105614
8354,882813	-54,734478
8441,015625	-54,021561
8527,148438	-54,529594
8613,281250	-54,729290
8699,414063	-56,133919
8785,546875	-55,975426
8871,679688	-55,845531
8957,812500	-55,598846
9043,945313	-52,850815
9130,078125	-50,798031
9216,210938	-52,437866
9302,343750	-53,228981
9388,476563	-52,378578
9474,609375	-51,583218
9560,742188	-52,893578
9646,875000	-54,965561
9733,007813	-54,413052
9819,140625	-54,865345
9905,273438	-54,735836
9991,406250	-55,424213
10077,539063	-55,354519
10163,671875	-54,725605
10249,804688	-54,720421
10335,937500	-54,691757
10422,070313	-55,323391
10508,203125	-55,284496
10594,335938	-56,099472
10680,468750	-57,664314
10766,601563	-57,521168
10852,734375	-57,412922
10938,867188	-58,990337
11025,000000	-57,370544
11111,132813	-54,882835
11197,265625	-52,888615
11283,398438	-51,686340
11369,531250	-52,366703
11455,664063	-53,092850
11541,796875	-53,669178
11627,929688	-54,530388
11714,062500	-56,197605
11800,195313	-57,579597
11886,328125	-59,831703
11972,460938	-62,962696
12058,593750	-66,375099
12144,726563	-69,457016
12230,859375	-71,308914
12316,992188	-72,609390
12403,125000	-73,228279
12489,257813	-72,937805
12575,390625	-71,300560
12661,523438	-69,719246
12747,656250	-68,734833
12833,789063	-70,117134
12919,921875	-70,324066
13006,054688	-70,267822
13092,187500	-69,368980
13178,320313	-70,288643
13264,453125	-70,888855
13350,585938	-71,884766
13436,718750	-72,817619
13522,851563	-75,203239
13608,984375	-78,277817
13695,117188	-79,772385
13781,250000	-78,099442
13867,382813	-76,138786
13953,515625	-75,638641
14039,648438	-75,429367
14125,781250	-75,145622
14211,914063	-76,105087
14298,046875	-75,187782
14384,179688	-75,256935
14470,312500	-76,509926
14556,445313	-76,522720
14642,578125	-75,715744
14728,710938	-75,067169
14814,843750	-75,798073
14900,976563	-77,824570
14987,109375	-78,257637
15073,242188	-76,276543
15159,375000	-75,303047
15245,507813	-75,422501
15331,640625	-76,759659
15417,773438	-76,539070
15503,906250	-77,139282
15590,039063	-79,236740
15676,171875	-80,112984
15762,304688	-80,676941
15848,437500	-79,517540
15934,570313	-79,227974
16020,703125	-81,227501
16106,835938	-83,438599
16192,968750	-84,206360
16279,101563	-83,986023
16365,234375	-83,758400
16451,367188	-84,813492
16537,500000	-83,001770
16623,632813	-81,680870
16709,765625	-83,456345
16795,898438	-84,280830
16882,031250	-85,253418
16968,164063	-84,229179
17054,296875	-84,643791
17140,429688	-84,800072
17226,562500	-85,124611
17312,695313	-84,723465
17398,828125	-85,523468
17484,960938	-85,456772
17571,093750	-84,950722
17657,226563	-84,864822
17743,359375	-83,852959
17829,492188	-83,841888
17915,625000	-83,693138
18001,757813	-84,176262
18087,890625	-82,391716
18174,023438	-83,414886
18260,156250	-84,227684
18346,289063	-85,642838
18432,421875	-84,875168
18518,554688	-83,636108
18604,687500	-83,236046
18690,820313	-82,694359
18776,953125	-82,851387
18863,085938	-83,708206
18949,218750	-83,696114
19035,351563	-83,245804
19121,484375	-84,226570
19207,617188	-84,402901
19293,750000	-83,908577
19379,882813	-83,807449
19466,015625	-83,530449
19552,148438	-83,343636
19638,281250	-83,071068
19724,414063	-83,816101
19810,546875	-83,529510
19896,679688	-83,322830
19982,812500	-82,360298
20068,945313	-82,336533
20155,078125	-83,018250
20241,210938	-83,360023
20327,343750	-82,463455
20413,476563	-83,396088
20499,609375	-83,035522
20585,742188	-83,351898
20671,875000	-83,557320
20758,007813	-83,641777
20844,140625	-84,045822
20930,273438	-83,576019
21016,406250	-83,644592
21102,539063	-85,044846
21188,671875	-86,026924
21274,804688	-85,468338
21360,937500	-86,264900
21447,070313	-87,506950
21533,203125	-88,969734
21619,335938	-89,211380
21705,468750	-89,118370
21791,601563	-89,867538
21877,734375	-91,162910
21963,867188	-91,470039
