Frecuencia (Hz)	volumen (dB)
86,132813	-73,397087
172,265625	-59,940186
258,398438	-44,709415
344,531250	-35,235226
430,664063	-26,614794
516,796875	-27,640123
602,929688	-41,307301
689,062500	-50,216331
775,195313	-46,742378
861,328125	-50,159481
947,460938	-57,917263
1033,593750	-57,408451
1119,726563	-55,048061
1205,859375	-58,747368
1291,992188	-62,156574
1378,125000	-63,119179
1464,257813	-64,076614
1550,390625	-58,928822
1636,523438	-56,243401
1722,656250	-52,503860
1808,789063	-50,676483
1894,921875	-46,964878
1981,054688	-41,658802
2067,187500	-38,448917
2153,320313	-40,079491
2239,453125	-43,477058
2325,585938	-40,547653
2411,718750	-39,569569
2497,851563	-40,579147
2583,984375	-42,957615
2670,117188	-46,704521
2756,250000	-49,386452
2842,382813	-51,127228
2928,515625	-51,685642
3014,648438	-53,182972
3100,781250	-57,584003
3186,914063	-57,190815
3273,046875	-59,004139
3359,179688	-61,917023
3445,312500	-60,158951
3531,445313	-62,114891
3617,578125	-63,954678
3703,710938	-61,527851
3789,843750	-62,433945
3875,976563	-64,881332
3962,109375	-69,755058
4048,242188	-69,581749
4134,375000	-67,715027
4220,507813	-65,624397
4306,640625	-63,985645
4392,773438	-61,410118
4478,906250	-60,311733
4565,039063	-57,845963
4651,171875	-56,492516
4737,304688	-56,858833
4823,437500	-59,357456
4909,570313	-62,246105
4995,703125	-64,470123
5081,835938	-66,451759
5167,968750	-65,737923
5254,101563	-64,662857
5340,234375	-64,241051
5426,367188	-65,198685
5512,500000	-64,975426
5598,632813	-62,132187
5684,765625	-58,390785
5770,898438	-55,568451
5857,031250	-56,736160
5943,164063	-61,648533
6029,296875	-64,117722
6115,429688	-65,762451
6201,562500	-65,943443
6287,695313	-62,644440
6373,828125	-58,948006
6459,960938	-57,346401
6546,093750	-56,581837
6632,226563	-57,832726
6718,359375	-59,059727
6804,492188	-56,465149
6890,625000	-55,631634
6976,757813	-55,585842
7062,890625	-54,110065
7149,023438	-54,123009
7235,156250	-52,913200
7321,289063	-53,535988
7407,421875	-56,933071
7493,554688	-56,331070
7579,687500	-56,530193
7665,820313	-57,632278
7751,953125	-57,131405
7838,085938	-55,905788
7924,218750	-54,598919
8010,351563	-53,732834
8096,484375	-52,654930
8182,617188	-51,928047
8268,750000	-51,307522
8354,882813	-50,912518
8441,015625	-50,765034
8527,148438	-51,400352
8613,281250	-50,502254
8699,414063	-50,555702
8785,546875	-51,109276
8871,679688	-51,528446
8957,812500	-51,855743
9043,945313	-51,017761
9130,078125	-52,132904
9216,210938	-52,452274
9302,343750	-50,694897
9388,476563	-50,696003
9474,609375	-51,913898
9560,742188	-54,114452
9646,875000	-55,858173
9733,007813	-55,888191
9819,140625	-53,734818
9905,273438	-52,211864
9991,406250	-52,001038
10077,539063	-51,957191
10163,671875	-52,200283
10249,804688	-54,970676
10335,937500	-60,363953
10422,070313	-64,723633
10508,203125	-69,725227
10594,335938	-65,902466
10680,468750	-62,650810
10766,601563	-60,671810
10852,734375	-58,339199
10938,867188	-55,802944
11025,000000	-54,831715
11111,132813	-53,317482
11197,265625	-51,514172
11283,398438	-51,959743
11369,531250	-52,719254
11455,664063	-53,382217
11541,796875	-54,288940
11627,929688	-55,040318
11714,062500	-55,245289
11800,195313	-56,178459
11886,328125	-57,191788
11972,460938	-60,151684
12058,593750	-65,592094
12144,726563	-71,536377
12230,859375	-79,628700
12316,992188	-83,878334
12403,125000	-84,279099
12489,257813	-79,778175
12575,390625	-73,665100
12661,523438	-69,889442
12747,656250	-67,935265
12833,789063	-65,095947
12919,921875	-64,959068
13006,054688	-65,227219
13092,187500	-65,275116
13178,320313	-67,368675
13264,453125	-67,410049
13350,585938	-68,130791
13436,718750	-67,577415
13522,851563	-65,780533
13608,984375	-65,512672
13695,117188	-67,330070
13781,250000	-69,181046
13867,382813	-70,119453
13953,515625	-71,602013
14039,648438	-71,695030
14125,781250	-71,906776
14211,914063	-72,178192
14298,046875	-72,864548
14384,179688	-74,132202
14470,312500	-76,278717
14556,445313	-81,902794
14642,578125	-84,008888
14728,710938	-85,286064
14814,843750	-85,404526
14900,976563	-84,522522
14987,109375	-85,203629
15073,242188	-86,254082
15159,375000	-85,005692
15245,507813	-84,390831
15331,640625	-83,062729
15417,773438	-82,164841
15503,906250	-79,709435
15590,039063	-78,536873
15676,171875	-78,395302
15762,304688	-78,640305
15848,437500	-79,163979
15934,570313	-81,157455
16020,703125	-83,708176
16106,835938	-85,070511
16192,968750	-85,802513
16279,101563	-85,684319
16365,234375	-85,900757
16451,367188	-85,523102
16537,500000	-85,108559
16623,632813	-85,065117
16709,765625	-84,028236
16795,898438	-84,274246
16882,031250	-84,957840
16968,164063	-85,469406
17054,296875	-85,385216
17140,429688	-84,068024
17226,562500	-84,517525
17312,695313	-84,753098
17398,828125	-85,384415
17484,960938	-85,356979
17571,093750	-85,118561
17657,226563	-85,164406
17743,359375	-85,628799
17829,492188	-84,134262
17915,625000	-84,440308
18001,757813	-84,073128
18087,890625	-83,818634
18174,023438	-84,130608
18260,156250	-84,048103
18346,289063	-84,426933
18432,421875	-84,704956
18518,554688	-84,714195
18604,687500	-83,966301
18690,820313	-83,867088
18776,953125	-82,766479
18863,085938	-82,610901
18949,218750	-83,160194
19035,351563	-83,591621
19121,484375	-82,852295
19207,617188	-82,972176
19293,750000	-82,531181
19379,882813	-83,598831
19466,015625	-83,331841
19552,148438	-83,100891
19638,281250	-83,091240
19724,414063	-83,270798
19810,546875	-84,160675
19896,679688	-84,298492
19982,812500	-82,760712
20068,945313	-82,069885
20155,078125	-82,927528
20241,210938	-83,578026
20327,343750	-83,553116
20413,476563	-82,586815
20499,609375	-81,773117
20585,742188	-82,137016
20671,875000	-82,879059
20758,007813	-83,428902
20844,140625	-84,051155
20930,273438	-85,126694
21016,406250	-85,116890
21102,539063	-84,752251
21188,671875	-85,697754
21274,804688	-86,770927
21360,937500	-86,736618
21447,070313	-87,986221
21533,203125	-88,547432
21619,335938	-89,383766
21705,468750	-89,997856
21791,601563	-90,245499
21877,734375	-90,527237
21963,867188	-91,123825
