Frecuencia (Hz)	volumen (dB)
86,132813	-66,651566
172,265625	-50,970604
258,398438	-43,211449
344,531250	-38,846710
430,664063	-41,957115
516,796875	-48,713291
602,929688	-59,030987
689,062500	-62,393196
775,195313	-62,812149
861,328125	-63,809986
947,460938	-64,175179
1033,593750	-67,369736
1119,726563	-68,757660
1205,859375	-70,054543
1291,992188	-71,294518
1378,125000	-70,704292
1464,257813	-71,434296
1550,390625	-70,550430
1636,523438	-69,218796
1722,656250	-68,944473
1808,789063	-68,852806
1894,921875	-68,587090
1981,054688	-67,898773
2067,187500	-67,066086
2153,320313	-62,151958
2239,453125	-53,021797
2325,585938	-44,916878
2411,718750	-38,574108
2497,851563	-35,166039
2583,984375	-36,905815
2670,117188	-39,270763
2756,250000	-39,055981
2842,382813	-41,102058
2928,515625	-42,707890
3014,648438	-45,692493
3100,781250	-46,648720
3186,914063	-49,132309
3273,046875	-52,267719
3359,179688	-54,425365
3445,312500	-55,447826
3531,445313	-53,559010
3617,578125	-54,062641
3703,710938	-57,181709
3789,843750	-62,635761
3875,976563	-70,117599
3962,109375	-75,434723
4048,242188	-77,333237
4134,375000	-78,265350
4220,507813	-77,517151
4306,640625	-73,651817
4392,773438	-66,157845
4478,906250	-59,742077
4565,039063	-54,502945
4651,171875	-52,552170
4737,304688	-54,187412
4823,437500	-58,519485
4909,570313	-53,627453
4995,703125	-50,902843
5081,835938	-52,659985
5167,968750	-55,935184
5254,101563	-53,277679
5340,234375	-49,181473
5426,367188	-48,102184
5512,500000	-50,685337
5598,632813	-54,206062
5684,765625	-56,081963
5770,898438	-57,376274
5857,031250	-59,125961
5943,164063	-57,675041
6029,296875	-54,524906
6115,429688	-54,487534
6201,562500	-57,565945
6287,695313	-63,243217
6373,828125	-62,136089
6459,960938	-60,025475
6546,093750	-58,483116
6632,226563	-57,579788
6718,359375	-55,967964
6804,492188	-53,257019
6890,625000	-49,910561
6976,757813	-47,875137
7062,890625	-46,986401
7149,023438	-46,641953
7235,156250	-47,999325
7321,289063	-50,927082
7407,421875	-53,802998
7493,554688	-55,829365
7579,687500	-54,158569
7665,820313	-52,990891
7751,953125	-51,602337
7838,085938	-49,399685
7924,218750	-47,529194
8010,351563	-48,472149
8096,484375	-47,195393
8182,617188	-45,742287
8268,750000	-46,622410
8354,882813	-49,714252
8441,015625	-51,232601
8527,148438	-54,598324
8613,281250	-57,683342
8699,414063	-56,888107
8785,546875	-58,568600
8871,679688	-59,457981
8957,812500	-59,242062
9043,945313	-58,890594
9130,078125	-60,363316
9216,210938	-62,677757
9302,343750	-61,884998
9388,476563	-56,951340
9474,609375	-55,650326
9560,742188	-54,074051
9646,875000	-52,113445
9733,007813	-50,391117
9819,140625	-48,652134
9905,273438	-48,260509
9991,406250	-48,416904
10077,539063	-49,152607
10163,671875	-51,906963
10249,804688	-55,821571
10335,937500	-62,567905
10422,070313	-64,590683
10508,203125	-66,882355
10594,335938	-71,075981
10680,468750	-77,216972
10766,601563	-71,191132
10852,734375	-66,430153
10938,867188	-63,239277
11025,000000	-62,116077
11111,132813	-62,103848
11197,265625	-63,695446
11283,398438	-65,809113
11369,531250	-67,388672
11455,664063	-66,427513
11541,796875	-65,074425
11627,929688	-63,741028
11714,062500	-64,271469
11800,195313	-64,622253
11886,328125	-64,514381
11972,460938	-66,155663
12058,593750	-66,067680
12144,726563	-65,399834
12230,859375	-66,479156
12316,992188	-68,863373
12403,125000	-73,374931
12489,257813	-77,833603
12575,390625	-78,677925
12661,523438	-81,643272
12747,656250	-79,117973
12833,789063	-75,863686
12919,921875	-73,275322
13006,054688	-70,085899
13092,187500	-69,175331
13178,320313	-69,039291
13264,453125	-68,180481
13350,585938	-68,182449
13436,718750	-67,399460
13522,851563	-66,231148
13608,984375	-65,352432
13695,117188	-64,508919
13781,250000	-65,845612
13867,382813	-66,045860
13953,515625	-66,278122
14039,648438	-68,498810
14125,781250	-71,659592
14211,914063	-74,954117
14298,046875	-76,432030
14384,179688	-77,544945
14470,312500	-78,926079
14556,445313	-81,591362
14642,578125	-82,527878
14728,710938	-83,286110
14814,843750	-83,190010
14900,976563	-86,002594
14987,109375	-85,786461
15073,242188	-85,687927
15159,375000	-86,902481
15245,507813	-85,742226
15331,640625	-85,202614
15417,773438	-85,001686
15503,906250	-84,875481
15590,039063	-83,996925
15676,171875	-81,865173
15762,304688	-81,322838
15848,437500	-82,666725
15934,570313	-80,743744
16020,703125	-82,073013
16106,835938	-82,718506
16192,968750	-83,981796
16279,101563	-84,332527
16365,234375	-84,496712
16451,367188	-83,806038
16537,500000	-83,445000
16623,632813	-83,847115
16709,765625	-85,051292
16795,898438	-85,389771
16882,031250	-84,859955
16968,164063	-84,259796
17054,296875	-84,997711
17140,429688	-84,719131
17226,562500	-85,037682
17312,695313	-84,805481
17398,828125	-84,472900
17484,960938	-86,059097
17571,093750	-85,508842
17657,226563	-85,584373
17743,359375	-84,158356
17829,492188	-84,801331
17915,625000	-85,344795
18001,757813	-83,775360
18087,890625	-83,004196
18174,023438	-82,636642
18260,156250	-83,432236
18346,289063	-83,137177
18432,421875	-82,584045
18518,554688	-83,181297
18604,687500	-82,690063
18690,820313	-83,340553
18776,953125	-83,374168
18863,085938	-83,877441
18949,218750	-84,205208
19035,351563	-83,568291
19121,484375	-83,040802
19207,617188	-83,256798
19293,750000	-83,085709
19379,882813	-82,995239
19466,015625	-83,852821
19552,148438	-82,230064
19638,281250	-82,154900
19724,414063	-82,646126
19810,546875	-82,571480
19896,679688	-81,847321
19982,812500	-82,407120
20068,945313	-83,630905
20155,078125	-83,361427
20241,210938	-82,740135
20327,343750	-82,542686
20413,476563	-83,301582
20499,609375	-83,638557
20585,742188	-83,990227
20671,875000	-83,785049
20758,007813	-83,704803
20844,140625	-83,521805
20930,273438	-84,812782
21016,406250	-85,396683
21102,539063	-84,762131
21188,671875	-85,375000
21274,804688	-87,494156
21360,937500	-88,344582
21447,070313	-87,826263
21533,203125	-88,121361
21619,335938	-89,382645
21705,468750	-88,988579
21791,601563	-90,360497
21877,734375	-90,560280
21963,867188	-90,568275
