Frecuencia (Hz)	volumen (dB)
86,132813	-68,913399
172,265625	-59,740753
258,398438	-43,356735
344,531250	-32,536320
430,664063	-22,288420
516,796875	-22,874924
602,929688	-32,508312
689,062500	-40,013592
775,195313	-39,792271
861,328125	-39,707687
947,460938	-44,945812
1033,593750	-53,648746
1119,726563	-63,192467
1205,859375	-67,639328
1291,992188	-70,988640
1378,125000	-72,285530
1464,257813	-73,659843
1550,390625	-73,739143
1636,523438	-72,433594
1722,656250	-70,498772
1808,789063	-68,638130
1894,921875	-63,291168
1981,054688	-60,712444
2067,187500	-60,760178
2153,320313	-67,915726
2239,453125	-72,406174
2325,585938	-72,070023
2411,718750	-72,623077
2497,851563	-71,389130
2583,984375	-70,063293
2670,117188	-67,710861
2756,250000	-67,605530
2842,382813	-67,533485
2928,515625	-62,608486
3014,648438	-61,921612
3100,781250	-62,874218
3186,914063	-61,406643
3273,046875	-64,993973
3359,179688	-68,852264
3445,312500	-68,726852
3531,445313	-75,812714
3617,578125	-78,533615
3703,710938	-78,350616
3789,843750	-79,106422
3875,976563	-80,753799
3962,109375	-81,143532
4048,242188	-80,865913
4134,375000	-80,153755
4220,507813	-80,525536
4306,640625	-78,070518
4392,773438	-74,907059
4478,906250	-73,230934
4565,039063	-70,797012
4651,171875	-73,910515
4737,304688	-76,399254
4823,437500	-73,675529
4909,570313	-74,978668
4995,703125	-79,196251
5081,835938	-81,308708
5167,968750	-78,924347
5254,101563	-73,699097
5340,234375	-67,014740
5426,367188	-63,647533
5512,500000	-64,216461
5598,632813	-66,203201
5684,765625	-66,919678
5770,898438	-67,859085
5857,031250	-72,783455
5943,164063	-74,928139
6029,296875	-79,222595
6115,429688	-82,122704
6201,562500	-82,492241
6287,695313	-81,588676
6373,828125	-82,213287
6459,960938	-81,098930
6546,093750	-79,173752
6632,226563	-79,176445
6718,359375	-79,798340
6804,492188	-79,630409
6890,625000	-80,303375
6976,757813	-78,548119
7062,890625	-73,418701
7149,023438	-66,719124
7235,156250	-65,163353
7321,289063	-64,895844
7407,421875	-63,228363
7493,554688	-62,819790
7579,687500	-62,244030
7665,820313	-63,572868
7751,953125	-65,231941
7838,085938	-66,712875
7924,218750	-67,001717
8010,351563	-67,645477
8096,484375	-70,422813
8182,617188	-69,643684
8268,750000	-75,196739
8354,882813	-76,536865
8441,015625	-74,099083
8527,148438	-71,080734
8613,281250	-69,444786
8699,414063	-67,091522
8785,546875	-67,851372
8871,679688	-69,122322
8957,812500	-65,656174
9043,945313	-63,795059
9130,078125	-62,304768
9216,210938	-66,770172
9302,343750	-67,707184
9388,476563	-63,867893
9474,609375	-65,301804
9560,742188	-66,350021
9646,875000	-63,566689
9733,007813	-61,404232
9819,140625	-59,201649
9905,273438	-57,439453
9991,406250	-57,426800
10077,539063	-56,631405
10163,671875	-55,952080
10249,804688	-58,467392
10335,937500	-61,909924
10422,070313	-64,001579
10508,203125	-66,776611
10594,335938	-71,610291
10680,468750	-77,471756
10766,601563	-82,363205
10852,734375	-83,491951
10938,867188	-83,350479
11025,000000	-83,468613
11111,132813	-82,418953
11197,265625	-81,715118
11283,398438	-82,975563
11369,531250	-83,070679
11455,664063	-83,895416
11541,796875	-85,684395
11627,929688	-85,681633
11714,062500	-85,767990
11800,195313	-85,147148
11886,328125	-85,045937
11972,460938	-84,761627
12058,593750	-84,899757
12144,726563	-84,909378
12230,859375	-85,040398
12316,992188	-86,405022
12403,125000	-86,285706
12489,257813	-86,462280
12575,390625	-86,612160
12661,523438	-86,991516
12747,656250	-86,482407
12833,789063	-86,004494
12919,921875	-86,598022
13006,054688	-87,004280
13092,187500	-86,639793
13178,320313	-85,248131
13264,453125	-82,204002
13350,585938	-80,316399
13436,718750	-80,028427
13522,851563	-80,998383
13608,984375	-85,146561
13695,117188	-86,480141
13781,250000	-86,457298
13867,382813	-86,273270
13953,515625	-85,576645
14039,648438	-87,264709
14125,781250	-87,000504
14211,914063	-86,198647
14298,046875	-85,586563
14384,179688	-85,782936
14470,312500	-86,947189
14556,445313	-87,481903
14642,578125	-86,988220
14728,710938	-86,770813
14814,843750	-86,189980
14900,976563	-86,461082
14987,109375	-86,610985
15073,242188	-85,719109
15159,375000	-86,367386
15245,507813	-86,537872
15331,640625	-86,988327
15417,773438	-86,283012
15503,906250	-86,264359
15590,039063	-85,879425
15676,171875	-85,889236
15762,304688	-86,387955
15848,437500	-86,177521
15934,570313	-85,515343
16020,703125	-85,355453
16106,835938	-86,279289
16192,968750	-86,000877
16279,101563	-85,717720
16365,234375	-85,743446
16451,367188	-85,921417
16537,500000	-86,263062
16623,632813	-86,185051
16709,765625	-85,994072
16795,898438	-85,381020
16882,031250	-85,158340
16968,164063	-85,087532
17054,296875	-85,352242
17140,429688	-85,931770
17226,562500	-85,527824
17312,695313	-85,096107
17398,828125	-84,891647
17484,960938	-84,999992
17571,093750	-85,281502
17657,226563	-84,881378
17743,359375	-84,542984
17829,492188	-85,508560
17915,625000	-85,343872
18001,757813	-85,556343
18087,890625	-85,208519
18174,023438	-84,269592
18260,156250	-84,030693
18346,289063	-85,334473
18432,421875	-85,490120
18518,554688	-84,400383
18604,687500	-84,615768
18690,820313	-84,072182
18776,953125	-82,754204
18863,085938	-82,657715
18949,218750	-82,994087
19035,351563	-82,948822
19121,484375	-83,478020
19207,617188	-83,711853
19293,750000	-83,588593
19379,882813	-82,829460
19466,015625	-82,990280
19552,148438	-83,573723
19638,281250	-83,780098
19724,414063	-83,663719
19810,546875	-83,314362
19896,679688	-83,099762
19982,812500	-83,243042
20068,945313	-83,595139
20155,078125	-83,274551
20241,210938	-82,700386
20327,343750	-82,763916
20413,476563	-83,598442
20499,609375	-83,681328
20585,742188	-83,758018
