Frecuencia (Hz)	volumen (dB)
86,132813	-76,969772
172,265625	-62,898918
258,398438	-52,157856
344,531250	-46,152386
430,664063	-44,153324
516,796875	-46,885883
602,929688	-49,631115
689,062500	-51,224476
775,195313	-55,472282
861,328125	-61,046162
947,460938	-63,944950
1033,593750	-65,276741
1119,726563	-67,568764
1205,859375	-67,280785
1291,992188	-64,800583
1378,125000	-62,329998
1464,257813	-63,775562
1550,390625	-66,834579
1636,523438	-68,238861
1722,656250	-63,731293
1808,789063	-66,578918
1894,921875	-67,440521
1981,054688	-64,758102
2067,187500	-65,051422
2153,320313	-63,132900
2239,453125	-62,238850
2325,585938	-63,061470
2411,718750	-64,813263
2497,851563	-65,911819
2583,984375	-67,059944
2670,117188	-65,300262
2756,250000	-65,259048
2842,382813	-68,000809
2928,515625	-67,005165
3014,648438	-69,555084
3100,781250	-72,388985
3186,914063	-74,208046
3273,046875	-76,648933
3359,179688	-77,515633
3445,312500	-76,535133
3531,445313	-76,185852
3617,578125	-75,902130
3703,710938	-75,782242
3789,843750	-75,186874
3875,976563	-75,056458
3962,109375	-74,554504
4048,242188	-75,448128
4134,375000	-75,287117
4220,507813	-73,950882
4306,640625	-73,716660
4392,773438	-72,659004
4478,906250	-75,591911
4565,039063	-77,098213
4651,171875	-75,644478
4737,304688	-76,800484
4823,437500	-77,142319
4909,570313	-78,483803
4995,703125	-80,528603
5081,835938	-80,204330
5167,968750	-78,317505
5254,101563	-77,664093
5340,234375	-77,194450
5426,367188	-74,298988
5512,500000	-69,314804
5598,632813	-67,528412
5684,765625	-68,358093
5770,898438	-67,725716
5857,031250	-65,604134
5943,164063	-64,788872
6029,296875	-65,744278
6115,429688	-67,954292
6201,562500	-67,837692
6287,695313	-66,492271
6373,828125	-66,390778
6459,960938	-70,224648
6546,093750	-73,354431
6632,226563	-71,077942
6718,359375	-65,558807
6804,492188	-60,904469
6890,625000	-62,380035
6976,757813	-64,930344
7062,890625	-66,802261
7149,023438	-71,976967
7235,156250	-72,631699
7321,289063	-73,076103
7407,421875	-75,384712
7493,554688	-72,895226
7579,687500	-69,279953
7665,820313	-66,111443
