Frecuencia (Hz)	volumen (dB)
86,132813	-68,016983
172,265625	-56,008682
258,398438	-49,526333
344,531250	-37,390808
430,664063	-34,228115
516,796875	-36,315529
602,929688	-34,196835
689,062500	-35,798538
775,195313	-36,108250
861,328125	-35,097321
947,460938	-36,794479
1033,593750	-32,906059
1119,726563	-27,331015
1205,859375	-25,989355
1291,992188	-25,897463
1378,125000	-28,803831
1464,257813	-27,649115
1550,390625	-26,523670
1636,523438	-23,472807
1722,656250	-20,645842
1808,789063	-21,575460
1894,921875	-21,515596
1981,054688	-26,547428
2067,187500	-31,970592
2153,320313	-34,892578
2239,453125	-38,653965
2325,585938	-42,758163
2411,718750	-48,335682
2497,851563	-48,248619
2583,984375	-44,914982
2670,117188	-41,858246
2756,250000	-37,602348
2842,382813	-34,381226
2928,515625	-32,901562
3014,648438	-29,848103
3100,781250	-31,294577
3186,914063	-33,354542
3273,046875	-36,160046
3359,179688	-39,123222
3445,312500	-40,731163
3531,445313	-45,634819
3617,578125	-47,167297
3703,710938	-47,102638
3789,843750	-44,879520
3875,976563	-43,345676
3962,109375	-40,381535
4048,242188	-38,510448
4134,375000	-38,745556
4220,507813	-36,230648
4306,640625	-36,663296
4392,773438	-38,891815
4478,906250	-40,233799
4565,039063	-43,587940
4651,171875	-44,939266
4737,304688	-47,934929
4823,437500	-52,119499
4909,570313	-55,357746
4995,703125	-60,197552
5081,835938	-61,629040
5167,968750	-64,451088
5254,101563	-67,013855
5340,234375	-67,540932
5426,367188	-71,492973
5512,500000	-75,558578
5598,632813	-77,853233
5684,765625	-71,984856
5770,898438	-67,076622
5857,031250	-66,180267
5943,164063	-69,706978
6029,296875	-76,347946
6115,429688	-79,133827
6201,562500	-78,902832
6287,695313	-78,113426
6373,828125	-79,868813
6459,960938	-80,130936
6546,093750	-80,637199
6632,226563	-80,179749
6718,359375	-80,970436
6804,492188	-79,554527
6890,625000	-78,129311
6976,757813	-73,048378
7062,890625	-69,243019
7149,023438	-65,076111
7235,156250	-61,520370
7321,289063	-59,956982
7407,421875	-56,878273
7493,554688	-55,257664
7579,687500	-54,150234
7665,820313	-53,577427
7751,953125	-55,165306
7838,085938	-52,261162
7924,218750	-51,942886
8010,351563	-52,543770
8096,484375	-50,384430
8182,617188	-50,092251
8268,750000	-49,411243
8354,882813	-52,286396
8441,015625	-54,908073
8527,148438	-54,318619
8613,281250	-57,086784
8699,414063	-58,720196
8785,546875	-60,666157
8871,679688	-58,361012
8957,812500	-58,301025
9043,945313	-57,899471
9130,078125	-58,205093
9216,210938	-60,209553
9302,343750	-59,128708
9388,476563	-61,175560
9474,609375	-64,190475
9560,742188	-68,261894
9646,875000	-74,191536
9733,007813	-76,580650
9819,140625	-77,413879
9905,273438	-78,893501
9991,406250	-79,764481
10077,539063	-79,865273
10163,671875	-79,422852
10249,804688	-79,034645
10335,937500	-79,577591
10422,070313	-78,146957
10508,203125	-75,501869
10594,335938	-72,577316
10680,468750	-70,813171
10766,601563	-72,465881
10852,734375	-72,197762
10938,867188	-73,481377
11025,000000	-71,650917
11111,132813	-73,299530
11197,265625	-76,838432
11283,398438	-79,644844
11369,531250	-82,549149
11455,664063	-82,910576
11541,796875	-83,463821
11627,929688	-82,749619
11714,062500	-81,041580
11800,195313	-80,164978
11886,328125	-77,468246
11972,460938	-76,082390
12058,593750	-76,916763
12144,726563	-75,053329
12230,859375	-74,385582
12316,992188	-73,705956
12403,125000	-72,299622
12489,257813	-73,231895
12575,390625	-74,535057
12661,523438	-76,762177
12747,656250	-78,354599
12833,789063	-78,427025
12919,921875	-80,805305
13006,054688	-83,047165
13092,187500	-80,414398
13178,320313	-74,962784
13264,453125	-73,823601
