Frecuencia (Hz)	volumen (dB)
86,132813	-69,699173
172,265625	-59,922874
258,398438	-41,576752
344,531250	-31,632162
430,664063	-28,157093
516,796875	-21,461061
602,929688	-23,797894
689,062500	-33,546902
775,195313	-44,185226
861,328125	-54,226051
947,460938	-58,667667
1033,593750	-58,742702
1119,726563	-55,995876
1205,859375	-56,318459
1291,992188	-58,543278
1378,125000	-61,853985
1464,257813	-62,737072
1550,390625	-62,660870
1636,523438	-62,305786
1722,656250	-60,499210
1808,789063	-60,545536
1894,921875	-60,343094
1981,054688	-61,608700
2067,187500	-61,115463
2153,320313	-60,458130
2239,453125	-58,242378
2325,585938	-59,651299
2411,718750	-57,151684
2497,851563	-47,072720
2583,984375	-38,124947
2670,117188	-34,024307
2756,250000	-33,326859
2842,382813	-35,293324
2928,515625	-34,970490
3014,648438	-34,878101
3100,781250	-33,983315
3186,914063	-32,984409
3273,046875	-31,623480
3359,179688	-33,521690
3445,312500	-39,226723
3531,445313	-46,362530
3617,578125	-50,297974
3703,710938	-50,785240
3789,843750	-49,475456
3875,976563	-48,362328
3962,109375	-47,299095
4048,242188	-46,255470
4134,375000	-43,891174
4220,507813	-41,582157
4306,640625	-41,466000
4392,773438	-41,784111
4478,906250	-41,582104
4565,039063	-40,339222
4651,171875	-41,288017
4737,304688	-40,797417
4823,437500	-43,475979
4909,570313	-47,279091
4995,703125	-51,260777
5081,835938	-56,193691
5167,968750	-60,055370
5254,101563	-68,967140
5340,234375	-75,642326
5426,367188	-75,522499
5512,500000	-75,535789
5598,632813	-75,295357
5684,765625	-76,302063
5770,898438	-77,108948
5857,031250	-73,694618
5943,164063	-68,988182
6029,296875	-64,790993
6115,429688	-65,188690
6201,562500	-66,956024
6287,695313	-73,476418
6373,828125	-79,609581
6459,960938	-80,217751
6546,093750	-78,928123
6632,226563	-78,706398
6718,359375	-77,855934
6804,492188	-75,480995
6890,625000	-72,146339
6976,757813	-66,696205
7062,890625	-62,073723
7149,023438	-60,385399
7235,156250	-57,395554
7321,289063	-55,340557
7407,421875	-55,010368
7493,554688	-54,030579
7579,687500	-56,092796
7665,820313	-58,439556
7751,953125	-58,768314
7838,085938	-58,333054
7924,218750	-59,638268
8010,351563	-59,286789
8096,484375	-58,188496
8182,617188	-57,562965
8268,750000	-60,049553
8354,882813	-61,603775
8441,015625	-60,574600
8527,148438	-60,639023
8613,281250	-60,810806
8699,414063	-58,540977
8785,546875	-57,073326
8871,679688	-56,857651
8957,812500	-56,194717
9043,945313	-55,896740
9130,078125	-56,263424
9216,210938	-55,751492
9302,343750	-54,960587
9388,476563	-55,307972
9474,609375	-55,455086
9560,742188	-56,006092
9646,875000	-54,312553
9733,007813	-53,742813
9819,140625	-54,372311
9905,273438	-57,116726
9991,406250	-54,587589
10077,539063	-53,095009
10163,671875	-54,104092
10249,804688	-54,336403
10335,937500	-53,642342
10422,070313	-51,910015
10508,203125	-51,485916
10594,335938	-51,921318
10680,468750	-52,924210
10766,601563	-54,275990
10852,734375	-55,179165
10938,867188	-58,288166
11025,000000	-61,169746
11111,132813	-63,076591
11197,265625	-64,260925
11283,398438	-64,765503
11369,531250	-64,575279
11455,664063	-64,721817
11541,796875	-63,579510
11627,929688	-59,612854
11714,062500	-57,852779
11800,195313	-57,892693
11886,328125	-57,222382
11972,460938	-55,528324
12058,593750	-55,195126
12144,726563	-55,771015
12230,859375	-55,964634
12316,992188	-56,715149
12403,125000	-57,345974
12489,257813	-60,574497
12575,390625	-62,741119
12661,523438	-65,715752
12747,656250	-67,384888
12833,789063	-68,174477
12919,921875	-69,329155
13006,054688	-70,935677
13092,187500	-72,687988
13178,320313	-72,835182
13264,453125	-72,125137
13350,585938	-73,491699
13436,718750	-74,373734
13522,851563	-76,312508
13608,984375	-73,619270
13695,117188	-73,450722
13781,250000	-75,711502
13867,382813	-79,721809
13953,515625	-83,086632
14039,648438	-85,404343
14125,781250	-85,486595
14211,914063	-85,778114
14298,046875	-85,428459
14384,179688	-85,584755
14470,312500	-85,906281
14556,445313	-86,059128
14642,578125	-85,786812
14728,710938	-86,609032
14814,843750	-86,028076
14900,976563	-85,343102
14987,109375	-86,253365
