Frecuencia (Hz)	volumen (dB)
86,132813	-67,950165
172,265625	-56,501080
258,398438	-39,226006
344,531250	-31,032566
430,664063	-29,040749
516,796875	-32,963154
602,929688	-46,927322
689,062500	-54,077145
775,195313	-56,246117
861,328125	-59,968212
947,460938	-64,080879
1033,593750	-66,051819
1119,726563	-67,895538
1205,859375	-68,112671
1291,992188	-68,096031
1378,125000	-68,482452
1464,257813	-67,863976
1550,390625	-68,481499
1636,523438	-67,787590
1722,656250	-66,753929
1808,789063	-67,103821
1894,921875	-68,703293
1981,054688	-69,599922
2067,187500	-70,062813
2153,320313	-70,729179
2239,453125	-71,217674
2325,585938	-71,911995
2411,718750	-71,432999
2497,851563	-67,483444
2583,984375	-57,067295
2670,117188	-47,230095
2756,250000	-38,535164
2842,382813	-35,064533
2928,515625	-36,200207
3014,648438	-38,538914
3100,781250	-42,169456
3186,914063	-41,395645
3273,046875	-42,853416
3359,179688	-42,050865
3445,312500	-42,868641
3531,445313	-42,943031
3617,578125	-45,393085
3703,710938	-45,407684
3789,843750	-47,518734
3875,976563	-44,483505
3962,109375	-45,857727
4048,242188	-45,276478
4134,375000	-42,004215
4220,507813	-38,766323
4306,640625	-38,235683
4392,773438	-38,384056
4478,906250	-39,403610
4565,039063	-36,854233
4651,171875	-38,235050
4737,304688	-40,583858
4823,437500	-45,579369
4909,570313	-52,135784
4995,703125	-55,781307
5081,835938	-59,711639
5167,968750	-65,617645
5254,101563	-75,267120
5340,234375	-80,473358
5426,367188	-80,262199
5512,500000	-80,951820
5598,632813	-82,150070
5684,765625	-81,930229
5770,898438	-79,806458
5857,031250	-73,200089
5943,164063	-65,351746
6029,296875	-63,978546
6115,429688	-70,015366
6201,562500	-78,491196
6287,695313	-80,657104
6373,828125	-81,627785
6459,960938	-82,035637
6546,093750	-80,977501
6632,226563	-81,592232
6718,359375	-80,935936
6804,492188	-79,892487
6890,625000	-76,925827
6976,757813	-71,018745
7062,890625	-68,674133
7149,023438	-70,780251
7235,156250	-70,257904
7321,289063	-64,302490
7407,421875	-57,769772
7493,554688	-56,201721
7579,687500	-57,590111
7665,820313	-59,993408
7751,953125	-59,883587
7838,085938	-62,387856
7924,218750	-68,630554
8010,351563	-69,938583
8096,484375	-64,836571
8182,617188	-63,214275
8268,750000	-60,226158
8354,882813	-55,486877
8441,015625	-51,438309
8527,148438	-51,006039
8613,281250	-52,005161
8699,414063	-54,133705
8785,546875	-53,395584
8871,679688	-53,422066
8957,812500	-53,141296
9043,945313	-54,554535
9130,078125	-54,819851
9216,210938	-54,190704
9302,343750	-52,078548
9388,476563	-52,805477
9474,609375	-53,476665
9560,742188	-52,644802
9646,875000	-52,616844
9733,007813	-55,885723
9819,140625	-58,064034
9905,273438	-57,858162
9991,406250	-56,375572
10077,539063	-56,851913
10163,671875	-55,496044
10249,804688	-52,622154
10335,937500	-50,855923
10422,070313	-50,578621
10508,203125	-50,341614
10594,335938	-51,375584
10680,468750	-52,288158
10766,601563	-55,825768
10852,734375	-59,231075
10938,867188	-59,889206
11025,000000	-61,582317
11111,132813	-64,884010
11197,265625	-63,057781
11283,398438	-61,638371
11369,531250	-61,996964
11455,664063	-60,157154
11541,796875	-58,629257
