Frecuencia (Hz)	volumen (dB)
86,132813	-69,217056
172,265625	-58,067459
258,398438	-45,535046
344,531250	-30,469706
430,664063	-24,144554
516,796875	-21,484627
602,929688	-18,329126
689,062500	-19,303967
775,195313	-27,367119
861,328125	-35,722832
947,460938	-36,305752
1033,593750	-32,287266
1119,726563	-34,991993
1205,859375	-41,249050
1291,992188	-48,067791
1378,125000	-49,830536
1464,257813	-51,803474
1550,390625	-53,742050
1636,523438	-56,051197
1722,656250	-57,987339
1808,789063	-61,535240
1894,921875	-66,011520
1981,054688	-67,201996
2067,187500	-68,836349
2153,320313	-70,920723
2239,453125	-72,547691
2325,585938	-72,939255
2411,718750	-73,431297
2497,851563	-73,654861
2583,984375	-71,994881
2670,117188	-69,434547
2756,250000	-66,300331
2842,382813	-61,407276
2928,515625	-56,602779
3014,648438	-51,655537
3100,781250	-46,698483
3186,914063	-43,483799
3273,046875	-41,784630
3359,179688	-43,334007
3445,312500	-48,102615
3531,445313	-54,389286
3617,578125	-55,166157
3703,710938	-54,285435
3789,843750	-51,454269
3875,976563	-47,729004
3962,109375	-46,544289
4048,242188	-46,190353
4134,375000	-44,481400
4220,507813	-43,974747
4306,640625	-44,929848
4392,773438	-44,854877
4478,906250	-44,606472
4565,039063	-44,621017
4651,171875	-47,599968
4737,304688	-51,574566
4823,437500	-52,683670
4909,570313	-51,267887
4995,703125	-53,328957
5081,835938	-57,707588
5167,968750	-65,510338
5254,101563	-75,913231
5340,234375	-83,134331
5426,367188	-83,377907
5512,500000	-77,664879
5598,632813	-71,926765
5684,765625	-71,185638
5770,898438	-73,557175
5857,031250	-76,269508
5943,164063	-76,015869
6029,296875	-81,757278
6115,429688	-82,860382
6201,562500	-83,746208
6287,695313	-84,322884
6373,828125	-84,440804
6459,960938	-84,851196
6546,093750	-84,029152
6632,226563	-84,724838
6718,359375	-83,220894
6804,492188	-77,580299
6890,625000	-67,301552
6976,757813	-61,936752
7062,890625	-63,100136
7149,023438	-67,311661
7235,156250	-69,764214
7321,289063	-68,580948
7407,421875	-68,293434
7493,554688	-71,436745
7579,687500	-68,320717
7665,820313	-61,581635
7751,953125	-57,957516
7838,085938	-60,553635
7924,218750	-64,854820
8010,351563	-63,934868
8096,484375	-62,305820
8182,617188	-64,755188
8268,750000	-65,440353
8354,882813	-61,466103
8441,015625	-59,889465
8527,148438	-60,472687
8613,281250	-60,930050
8699,414063	-60,062504
8785,546875	-60,519569
8871,679688	-62,418247
8957,812500	-64,843559
9043,945313	-69,135567
9130,078125	-72,653175
9216,210938	-76,773605
9302,343750	-80,090477
9388,476563	-81,793747
9474,609375	-82,990089
9560,742188	-83,759705
9646,875000	-84,689789
9733,007813	-85,100281
9819,140625	-84,114311
9905,273438	-83,543648
9991,406250	-82,961952
10077,539063	-83,351387
10163,671875	-83,291542
10249,804688	-81,643578
10335,937500	-74,909462
10422,070313	-70,553581
10508,203125	-70,492561
10594,335938	-74,142906
10680,468750	-74,462936
10766,601563	-72,356606
10852,734375	-74,397896
10938,867188	-76,636971
11025,000000	-76,922012
11111,132813	-77,649605
11197,265625	-82,559784
11283,398438	-84,606606
11369,531250	-84,615395
11455,664063	-79,839546
11541,796875	-78,150108
11627,929688	-78,215767
11714,062500	-78,077354
11800,195313	-78,404396
11886,328125	-77,154816
11972,460938	-79,097565
12058,593750	-83,289948
12144,726563	-83,774826
12230,859375	-84,056999
12316,992188	-83,591675
12403,125000	-84,389366
12489,257813	-86,068550
12575,390625	-86,944138
12661,523438	-87,450165
12747,656250	-86,082855
12833,789063	-86,591415
12919,921875	-87,701126
13006,054688	-86,824730
13092,187500	-86,867668
13178,320313	-86,295059
13264,453125	-86,393730
13350,585938	-85,379028
13436,718750	-86,126869
13522,851563	-86,182732
13608,984375	-85,638504
13695,117188	-85,785988
13781,250000	-85,930077
13867,382813	-86,339424
13953,515625	-87,532112
14039,648438	-88,226028
14125,781250	-86,917297
14211,914063	-87,087837
14298,046875	-86,523232
14384,179688	-85,830765
14470,312500	-85,641953
14556,445313	-85,893654
14642,578125	-85,895691
14728,710938	-86,061531
14814,843750	-86,114403
14900,976563	-85,937859
14987,109375	-86,132286
15073,242188	-85,397690
15159,375000	-84,885551
15245,507813	-85,773872
15331,640625	-85,353920
15417,773438	-85,404770
15503,906250	-85,414856
