Frecuencia (Hz)	volumen (dB)
86,132813	-70,365097
172,265625	-62,283882
258,398438	-39,115818
344,531250	-31,183071
430,664063	-32,326046
516,796875	-25,589476
602,929688	-28,762411
689,062500	-35,418320
775,195313	-40,713932
861,328125	-55,600697
947,460938	-58,501034
1033,593750	-58,934715
1119,726563	-59,528244
1205,859375	-63,483246
1291,992188	-67,317337
1378,125000	-67,490517
1464,257813	-66,340523
1550,390625	-68,461189
1636,523438	-69,166527
1722,656250	-69,104477
1808,789063	-70,145218
1894,921875	-71,961357
1981,054688	-71,984764
2067,187500	-73,465302
2153,320313	-75,606125
2239,453125	-75,736534
2325,585938	-75,044571
2411,718750	-76,212486
2497,851563	-72,691872
2583,984375	-63,469624
2670,117188	-59,199844
2756,250000	-60,694561
2842,382813	-64,948067
2928,515625	-67,639725
3014,648438	-64,729996
3100,781250	-64,949295
3186,914063	-64,784500
3273,046875	-64,771774
3359,179688	-69,979912
3445,312500	-73,495766
3531,445313	-75,108994
3617,578125	-71,529922
3703,710938	-70,240013
3789,843750	-74,391464
3875,976563	-68,160591
3962,109375	-62,295204
4048,242188	-64,189079
4134,375000	-67,745438
4220,507813	-68,612358
4306,640625	-70,190536
4392,773438	-74,012100
4478,906250	-76,357491
4565,039063	-77,993225
4651,171875	-79,654839
4737,304688	-81,033844
4823,437500	-79,915657
4909,570313	-75,922562
4995,703125	-74,690399
5081,835938	-73,991417
5167,968750	-71,662788
5254,101563	-73,228477
5340,234375	-76,740128
5426,367188	-77,497894
5512,500000	-72,252548
5598,632813	-67,343292
5684,765625	-68,170509
5770,898438	-68,860161
5857,031250	-71,238914
5943,164063	-65,267853
6029,296875	-66,811226
6115,429688	-73,019279
6201,562500	-72,103035
6287,695313	-71,274147
6373,828125	-69,805084
6459,960938	-67,745430
6546,093750	-68,868301
6632,226563	-68,486626
6718,359375	-66,262230
6804,492188	-66,204369
6890,625000	-68,084740
6976,757813	-65,696091
7062,890625	-70,284714
7149,023438	-70,666451
7235,156250	-67,328758
7321,289063	-65,011627
7407,421875	-63,116760
7493,554688	-61,371078
7579,687500	-61,820908
7665,820313	-64,038986
7751,953125	-65,222137
7838,085938	-67,326889
7924,218750	-66,882011
8010,351563	-69,676788
8096,484375	-66,656044
8182,617188	-65,015968
8268,750000	-67,078049
8354,882813	-65,158958
8441,015625	-62,886650
8527,148438	-64,094849
8613,281250	-65,603210
8699,414063	-65,496925
8785,546875	-63,685936
8871,679688	-64,703300
8957,812500	-64,100449
9043,945313	-62,997936
9130,078125	-62,199234
9216,210938	-61,548912
9302,343750	-62,051323
9388,476563	-66,230293
9474,609375	-66,126854
9560,742188	-64,878830
9646,875000	-66,177635
9733,007813	-67,690247
9819,140625	-67,380157
9905,273438	-66,433907
9991,406250	-67,044144
10077,539063	-69,019112
10163,671875	-74,115891
10249,804688	-75,710365
10335,937500	-72,384254
10422,070313	-68,736305
10508,203125	-71,584946
10594,335938	-73,409348
10680,468750	-69,759766
10766,601563	-68,576721
10852,734375	-69,593773
10938,867188	-72,352264
11025,000000	-74,839218
11111,132813	-77,007454
11197,265625	-76,529335
11283,398438	-72,553169
11369,531250	-73,438065
11455,664063	-72,927116
11541,796875	-71,417717
11627,929688	-71,720749
11714,062500	-73,769096
11800,195313	-72,453957
11886,328125	-74,645615
11972,460938	-79,509766
12058,593750	-83,044205
12144,726563	-82,702896
12230,859375	-76,929153
12316,992188	-74,670876
12403,125000	-78,288742
12489,257813	-82,479675
12575,390625	-81,694847
12661,523438	-80,936272
12747,656250	-81,585014
12833,789063	-84,290817
12919,921875	-83,218910
13006,054688	-84,306297
13092,187500	-86,103966
13178,320313	-85,337791
13264,453125	-86,427246
13350,585938	-85,329887
13436,718750	-84,067368
13522,851563	-82,013824
13608,984375	-81,997467
13695,117188	-83,764435
13781,250000	-84,815575
13867,382813	-84,230965
13953,515625	-84,526917
14039,648438	-85,104683
14125,781250	-85,928413
14211,914063	-87,293289
14298,046875	-88,037544
14384,179688	-85,737350
14470,312500	-85,394913
14556,445313	-85,479393
14642,578125	-84,694275
14728,710938	-83,603523
14814,843750	-84,144142
14900,976563	-85,636246
14987,109375	-86,248154
15073,242188	-86,153534
15159,375000	-84,828667
15245,507813	-85,205177
15331,640625	-85,353287
15417,773438	-85,902100
15503,906250	-87,369102
15590,039063	-85,490692
15676,171875	-85,899666
15762,304688	-84,217102
15848,437500	-85,575424
15934,570313	-85,200600
16020,703125	-85,354103
16106,835938	-85,321205
16192,968750	-84,499374
16279,101563	-85,098137
16365,234375	-86,309814
16451,367188	-86,784248
16537,500000	-85,586723
16623,632813	-85,283371
16709,765625	-85,485603
16795,898438	-85,302780
16882,031250	-86,605705
16968,164063	-86,161636
17054,296875	-85,282417
17140,429688	-85,396210
17226,562500	-84,774361
17312,695313	-84,580536
17398,828125	-84,327011
17484,960938	-84,626244
17571,093750	-84,268059
17657,226563	-84,658722
17743,359375	-85,061676
17829,492188	-85,430733
17915,625000	-84,610565
18001,757813	-84,540863
18087,890625	-85,781441
18174,023438	-85,494507
18260,156250	-85,355057
18346,289063	-85,457809
18432,421875	-85,471718
18518,554688	-83,410309
18604,687500	-83,268677
18690,820313	-83,999359
18776,953125	-84,172211
18863,085938	-84,643768
18949,218750	-83,288559
19035,351563	-82,925545
19121,484375	-83,415527
19207,617188	-84,052147
19293,750000	-84,475258
19379,882813	-82,844688
19466,015625	-82,464470
19552,148438	-82,541710
19638,281250	-82,849030
19724,414063	-82,618004
19810,546875	-82,805962
19896,679688	-82,370728
19982,812500	-82,594971
20068,945313	-82,487076
20155,078125	-82,074623
20241,210938	-83,004715
20327,343750	-83,265755
20413,476563	-83,154617
20499,609375	-82,282433
20585,742188	-83,383675
20671,875000	-83,725243
20758,007813	-83,736351
20844,140625	-85,078995
20930,273438	-86,419502
21016,406250	-85,076637
21102,539063	-86,232895
21188,671875	-85,952682
21274,804688	-86,442711
21360,937500	-86,718689
21447,070313	-88,306824
21533,203125	-88,837898
21619,335938	-88,683083
21705,468750	-88,990479
21791,601563	-89,691223
21877,734375	-90,576050
21963,867188	-90,268127
