Frecuencia (Hz)	volumen (dB)
86,132813	-67,612762
172,265625	-53,468681
258,398438	-45,564095
344,531250	-34,694740
430,664063	-32,371517
516,796875	-36,173882
602,929688	-39,679989
689,062500	-32,966530
775,195313	-26,306343
861,328125	-22,946888
947,460938	-15,674022
1033,593750	-15,707248
1119,726563	-14,051484
1205,859375	-14,930367
1291,992188	-17,434702
1378,125000	-16,064716
1464,257813	-18,320211
1550,390625	-18,410784
1636,523438	-21,408348
1722,656250	-25,360266
1808,789063	-31,866980
1894,921875	-34,338657
1981,054688	-33,801857
2067,187500	-31,598579
2153,320313	-30,658472
2239,453125	-32,397503
2325,585938	-31,115068
2411,718750	-33,621265
2497,851563	-36,636265
2583,984375	-35,520607
2670,117188	-30,710199
2756,250000	-31,159145
2842,382813	-33,535652
2928,515625	-34,901554
3014,648438	-35,879726
3100,781250	-35,138466
3186,914063	-37,589619
3273,046875	-33,778984
3359,179688	-35,545818
3445,312500	-33,898754
3531,445313	-34,257004
3617,578125	-33,703735
3703,710938	-34,664616
3789,843750	-39,906471
3875,976563	-40,184494
3962,109375	-41,885098
4048,242188	-37,700333
4134,375000	-36,897308
4220,507813	-33,786861
4306,640625	-36,824024
4392,773438	-37,293270
4478,906250	-38,116608
4565,039063	-39,852070
4651,171875	-39,911179
4737,304688	-44,536713
4823,437500	-48,383419
4909,570313	-53,790119
4995,703125	-62,837376
5081,835938	-61,831688
5167,968750	-56,133286
5254,101563	-51,607666
5340,234375	-48,614788
5426,367188	-48,469364
5512,500000	-48,336750
5598,632813	-49,506020
5684,765625	-52,314369
5770,898438	-55,588558
5857,031250	-63,605721
5943,164063	-70,631027
6029,296875	-72,013542
6115,429688	-74,487831
6201,562500	-74,209175
6287,695313	-72,190262
6373,828125	-71,140739
6459,960938	-73,133987
6546,093750	-73,241913
6632,226563	-72,150299
6718,359375	-69,412727
6804,492188	-68,070374
6890,625000	-68,464745
6976,757813	-71,991783
7062,890625	-76,184677
7149,023438	-75,544449
7235,156250	-74,272141
7321,289063	-75,030403
7407,421875	-74,084633
7493,554688	-71,240997
7579,687500	-70,575485
7665,820313	-72,284904
7751,953125	-73,680977
7838,085938	-70,017632
7924,218750	-64,183945
8010,351563	-59,475983
8096,484375	-58,917683
8182,617188	-59,751453
8268,750000	-59,657875
8354,882813	-56,782642
8441,015625	-54,611671
8527,148438	-51,212303
8613,281250	-47,898239
8699,414063	-46,634838
8785,546875	-48,084167
8871,679688	-50,972332
8957,812500	-53,126732
9043,945313	-55,936897
9130,078125	-57,452377
9216,210938	-59,031631
9302,343750	-58,282406
9388,476563	-60,683788
9474,609375	-64,888611
9560,742188	-65,705566
9646,875000	-63,581787
9733,007813	-63,640480
9819,140625	-63,427658
9905,273438	-64,643471
9991,406250	-66,819992
10077,539063	-63,892677
10163,671875	-65,419052
10249,804688	-71,552567
10335,937500	-74,313629
10422,070313	-76,390503
10508,203125	-78,806198
10594,335938	-77,991959
10680,468750	-78,209351
10766,601563	-77,262222
10852,734375	-77,698105
10938,867188	-77,938057
11025,000000	-77,629280
11111,132813	-76,272110
11197,265625	-77,206551
11283,398438	-78,086845
11369,531250	-78,823807
11455,664063	-80,828255
11541,796875	-81,200363
11627,929688	-81,634483
11714,062500	-81,582848
11800,195313	-81,145760
11886,328125	-80,985260
11972,460938	-81,560471
12058,593750	-83,095932
12144,726563	-82,802498
12230,859375	-81,845108
12316,992188	-82,697693
12403,125000	-83,607452
12489,257813	-83,158012
12575,390625	-82,874626
12661,523438	-82,781448
12747,656250	-81,335312
12833,789063	-81,730164
12919,921875	-82,279686
13006,054688	-79,528053
13092,187500	-79,872604
13178,320313	-82,877235
13264,453125	-81,856888
13350,585938	-81,682793
13436,718750	-80,815475
13522,851563	-78,116859
13608,984375	-76,009361
13695,117188	-75,485954
13781,250000	-75,585701
13867,382813	-76,635818
13953,515625	-77,724205
14039,648438	-80,141891
14125,781250	-82,417130
14211,914063	-81,663155
14298,046875	-80,432236
14384,179688	-81,186874
14470,312500	-81,962334
14556,445313	-82,107361
14642,578125	-81,734085
14728,710938	-80,395767
14814,843750	-77,887260
14900,976563	-80,183762
14987,109375	-82,093658
15073,242188	-82,164261
15159,375000	-83,943352
15245,507813	-84,856361
15331,640625	-84,455215
