Frecuencia (Hz)	volumen (dB)
86,132813	-64,130356
172,265625	-51,444462
258,398438	-40,928299
344,531250	-21,830692
430,664063	-17,777426
516,796875	-23,275955
602,929688	-25,408743
689,062500	-30,478949
775,195313	-43,842007
861,328125	-46,518059
947,460938	-50,457500
1033,593750	-49,779495
1119,726563	-51,057568
1205,859375	-50,236897
1291,992188	-52,424126
1378,125000	-52,473717
1464,257813	-51,918449
1550,390625	-54,516354
1636,523438	-52,355549
1722,656250	-51,802639
1808,789063	-50,483997
1894,921875	-51,877823
1981,054688	-45,884190
2067,187500	-41,804176
2153,320313	-39,331947
2239,453125	-36,170841
2325,585938	-35,653297
2411,718750	-31,854559
2497,851563	-29,855322
2583,984375	-22,058052
2670,117188	-21,117821
2756,250000	-28,724743
2842,382813	-36,745159
2928,515625	-36,694599
3014,648438	-29,052376
3100,781250	-27,735626
3186,914063	-24,134016
3273,046875	-22,066906
3359,179688	-25,245493
3445,312500	-26,670261
3531,445313	-29,837738
3617,578125	-30,331913
3703,710938	-33,173172
3789,843750	-39,248142
3875,976563	-40,684395
3962,109375	-39,094788
4048,242188	-32,816757
4134,375000	-29,111235
4220,507813	-24,541988
4306,640625	-25,389692
4392,773438	-27,130819
4478,906250	-26,198282
4565,039063	-27,046915
4651,171875	-26,702511
4737,304688	-31,350842
4823,437500	-36,822598
4909,570313	-42,657089
4995,703125	-54,910896
5081,835938	-58,691105
5167,968750	-56,355419
5254,101563	-50,077255
5340,234375	-48,925449
5426,367188	-47,370354
5512,500000	-48,301456
5598,632813	-51,657574
5684,765625	-53,199650
5770,898438	-59,141022
5857,031250	-67,187981
5943,164063	-68,470978
6029,296875	-68,399864
6115,429688	-67,857719
6201,562500	-68,451622
6287,695313	-69,552902
6373,828125	-71,239975
6459,960938	-71,089607
6546,093750	-71,354683
6632,226563	-71,733910
6718,359375	-70,929817
6804,492188	-70,485901
6890,625000	-71,579895
6976,757813	-73,166740
7062,890625	-73,194283
7149,023438	-71,600456
7235,156250	-71,087059
7321,289063	-68,876892
7407,421875	-68,050323
7493,554688	-63,177933
7579,687500	-63,099552
7665,820313	-60,427444
7751,953125	-61,881535
7838,085938	-60,652855
7924,218750	-56,369804
8010,351563	-57,293133
8096,484375	-60,981743
8182,617188	-62,569130
8268,750000	-58,275200
8354,882813	-56,719723
8441,015625	-58,759048
8527,148438	-58,005913
8613,281250	-54,547474
8699,414063	-52,188858
8785,546875	-53,639885
8871,679688	-54,901485
8957,812500	-52,707722
9043,945313	-53,211815
9130,078125	-52,697834
9216,210938	-53,295715
9302,343750	-52,478477
9388,476563	-55,205383
9474,609375	-62,817673
9560,742188	-67,276489
9646,875000	-66,941338
9733,007813	-65,096230
9819,140625	-66,415375
9905,273438	-68,349716
9991,406250	-69,194946
10077,539063	-70,491318
10163,671875	-71,014122
10249,804688	-73,157196
10335,937500	-72,729042
10422,070313	-73,819229
10508,203125	-74,917488
10594,335938	-76,668633
10680,468750	-77,654839
10766,601563	-78,507050
10852,734375	-78,193962
10938,867188	-75,362480
11025,000000	-75,130821
11111,132813	-67,619797
11197,265625	-65,593018
11283,398438	-62,507153
11369,531250	-61,048054
11455,664063	-67,462769
11541,796875	-68,626907
11627,929688	-71,754425
11714,062500	-74,484848
11800,195313	-73,996841
11886,328125	-70,725327
11972,460938	-65,995239
12058,593750	-64,875671
12144,726563	-59,434460
12230,859375	-59,513069
12316,992188	-59,711487
12403,125000	-59,170177
12489,257813	-61,643963
12575,390625	-59,881260
12661,523438	-62,338310
12747,656250	-63,202782
12833,789063	-63,874100
12919,921875	-64,414192
13006,054688	-63,036106
13092,187500	-63,342155
13178,320313	-61,458786
13264,453125	-63,753719
13350,585938	-63,527431
13436,718750	-61,434273
13522,851563	-59,768265
13608,984375	-59,036137
13695,117188	-59,194340
13781,250000	-59,611141
13867,382813	-62,748631
13953,515625	-67,118820
14039,648438	-68,396667
14125,781250	-69,635590
14211,914063	-68,952080
14298,046875	-67,858765
14384,179688	-65,251801
14470,312500	-66,052460
14556,445313	-64,834579
14642,578125	-61,835445
14728,710938	-61,029839
14814,843750	-59,258579
14900,976563	-62,168747
