Frecuencia (Hz)	volumen (dB)
86,132813	-61,341091
172,265625	-45,648178
258,398438	-41,649929
344,531250	-31,844297
430,664063	-25,887980
516,796875	-30,122192
602,929688	-39,831532
689,062500	-41,650146
775,195313	-50,644661
861,328125	-56,892296
947,460938	-60,641552
1033,593750	-62,457699
1119,726563	-62,227242
1205,859375	-63,113976
1291,992188	-63,445408
1378,125000	-65,515327
1464,257813	-65,082504
1550,390625	-64,915154
1636,523438	-63,851700
1722,656250	-63,235313
1808,789063	-64,353493
1894,921875	-63,627785
1981,054688	-62,883938
2067,187500	-63,082031
2153,320313	-61,058460
2239,453125	-58,440056
2325,585938	-52,259506
2411,718750	-51,079266
2497,851563	-43,132103
2583,984375	-38,581131
2670,117188	-33,248837
2756,250000	-29,313477
2842,382813	-34,299915
2928,515625	-42,970028
3014,648438	-41,637154
3100,781250	-37,897648
3186,914063	-34,146160
3273,046875	-32,100132
3359,179688	-27,016815
3445,312500	-25,191772
3531,445313	-25,705849
3617,578125	-26,829268
3703,710938	-30,877645
3789,843750	-35,031185
3875,976563	-35,731312
3962,109375	-37,173031
4048,242188	-32,036526
4134,375000	-29,666897
4220,507813	-29,623642
4306,640625	-27,665937
4392,773438	-28,210030
4478,906250	-28,113297
4565,039063	-25,939301
4651,171875	-25,435537
4737,304688	-28,389074
4823,437500	-33,652470
4909,570313	-42,581455
4995,703125	-47,625298
5081,835938	-46,646606
5167,968750	-43,909992
5254,101563	-42,249088
5340,234375	-42,669113
5426,367188	-41,624207
5512,500000	-44,528221
5598,632813	-50,046768
5684,765625	-52,022499
5770,898438	-55,509460
5857,031250	-60,143345
5943,164063	-65,329773
6029,296875	-68,472672
6115,429688	-63,342014
6201,562500	-61,253212
6287,695313	-60,190716
6373,828125	-61,832787
6459,960938	-67,570091
6546,093750	-68,955406
6632,226563	-67,662361
6718,359375	-68,289055
6804,492188	-68,120667
6890,625000	-66,411423
6976,757813	-62,612389
7062,890625	-56,153862
7149,023438	-50,179291
7235,156250	-49,958633
7321,289063	-47,083389
7407,421875	-44,494732
7493,554688	-45,040367
7579,687500	-41,909954
7665,820313	-43,418751
7751,953125	-44,892010
7838,085938	-43,179600
7924,218750	-43,537376
8010,351563	-42,172329
8096,484375	-43,724297
8182,617188	-46,112518
8268,750000	-46,259659
8354,882813	-47,837143
8441,015625	-46,639492
8527,148438	-46,408649
8613,281250	-43,466522
8699,414063	-42,618347
8785,546875	-45,979515
8871,679688	-45,009850
8957,812500	-45,940361
9043,945313	-47,710464
9130,078125	-48,926449
9216,210938	-51,553627
9302,343750	-49,897678
9388,476563	-48,992626
9474,609375	-46,535690
9560,742188	-45,136581
9646,875000	-44,592136
9733,007813	-42,406757
9819,140625	-44,391251
9905,273438	-43,389755
9991,406250	-41,785084
10077,539063	-42,288471
10163,671875	-42,358791
10249,804688	-45,166508
10335,937500	-45,561150
10422,070313	-45,889149
10508,203125	-47,334942
10594,335938	-47,545631
10680,468750	-48,365181
10766,601563	-47,591873
10852,734375	-48,210533
10938,867188	-49,977139
11025,000000	-51,932735
11111,132813	-51,441551
11197,265625	-50,161373
11283,398438	-50,764698
11369,531250	-51,283169
11455,664063	-52,233524
11541,796875	-53,398666
11627,929688	-53,121422
11714,062500	-54,306652
11800,195313	-54,712158
11886,328125	-55,679096
11972,460938	-56,404209
12058,593750	-56,219093
12144,726563	-57,206459
12230,859375	-57,389511
12316,992188	-56,574291
12403,125000	-56,667263
