Frecuencia (Hz)	volumen (dB)
86,132813	-62,519135
172,265625	-46,582668
258,398438	-39,610096
344,531250	-27,485167
430,664063	-15,584608
516,796875	-15,077803
602,929688	-23,469070
689,062500	-17,017670
775,195313	-14,978645
861,328125	-14,375000
947,460938	-13,285930
1033,593750	-18,413994
1119,726563	-30,475370
1205,859375	-37,887302
1291,992188	-41,039234
1378,125000	-40,011112
1464,257813	-45,968536
1550,390625	-55,981274
1636,523438	-60,265705
1722,656250	-66,203873
1808,789063	-67,872047
1894,921875	-63,503452
1981,054688	-58,214123
2067,187500	-55,988117
2153,320313	-54,846687
2239,453125	-56,245506
2325,585938	-59,082710
2411,718750	-58,678913
2497,851563	-58,405552
2583,984375	-62,055656
2670,117188	-60,806797
2756,250000	-60,444637
2842,382813	-58,699875
2928,515625	-48,989983
3014,648438	-40,115299
3100,781250	-35,630482
3186,914063	-34,254787
3273,046875	-34,092579
3359,179688	-36,429428
3445,312500	-39,163841
3531,445313	-37,832649
3617,578125	-39,042007
3703,710938	-42,555523
3789,843750	-43,580341
3875,976563	-47,279934
3962,109375	-54,213539
4048,242188	-53,521416
4134,375000	-49,148010
4220,507813	-45,502544
4306,640625	-46,270916
4392,773438	-47,131203
4478,906250	-41,743210
4565,039063	-41,128910
4651,171875	-38,291996
4737,304688	-37,620625
4823,437500	-43,597446
4909,570313	-41,241379
4995,703125	-42,292862
5081,835938	-45,290993
5167,968750	-44,722206
5254,101563	-45,110577
5340,234375	-44,435017
5426,367188	-45,959732
5512,500000	-47,909710
5598,632813	-51,034428
5684,765625	-55,605160
5770,898438	-57,180676
5857,031250	-60,478756
5943,164063	-66,631599
6029,296875	-72,358070
6115,429688	-73,523994
6201,562500	-72,122932
6287,695313	-70,514366
6373,828125	-69,240807
6459,960938	-68,629654
6546,093750	-70,891792
6632,226563	-78,530640
6718,359375	-80,083229
6804,492188	-80,745514
6890,625000	-82,094383
6976,757813	-82,533455
7062,890625	-79,190445
7149,023438	-71,072144
7235,156250	-68,730782
7321,289063	-66,309776
7407,421875	-62,441311
7493,554688	-62,775299
7579,687500	-64,051552
7665,820313	-64,736519
7751,953125	-60,150570
7838,085938	-59,630550
7924,218750	-63,427979
8010,351563	-60,507782
8096,484375	-61,039074
8182,617188	-64,406792
8268,750000	-62,888882
8354,882813	-63,059780
8441,015625	-64,467583
8527,148438	-59,766407
8613,281250	-59,460831
8699,414063	-56,263050
8785,546875	-53,623440
8871,679688	-55,459076
8957,812500	-52,970688
9043,945313	-53,118393
9130,078125	-55,845589
9216,210938	-55,717373
9302,343750	-52,692650
9388,476563	-53,450176
9474,609375	-54,223763
9560,742188	-55,576332
9646,875000	-58,409153
9733,007813	-60,996250
9819,140625	-62,323448
9905,273438	-65,276176
9991,406250	-63,176037
10077,539063	-60,608444
10163,671875	-59,328869
10249,804688	-59,229855
10335,937500	-59,546009
10422,070313	-61,427498
10508,203125	-62,804893
10594,335938	-63,678574
10680,468750	-66,240128
10766,601563	-67,024803
10852,734375	-69,051895
10938,867188	-72,428543
11025,000000	-75,793648
11111,132813	-73,415337
11197,265625	-66,611176
11283,398438	-62,693298
11369,531250	-62,906414
11455,664063	-65,193008
11541,796875	-68,865120
11627,929688	-68,190849
11714,062500	-66,553879
11800,195313	-64,498695
11886,328125	-63,696747
11972,460938	-63,540394
12058,593750	-61,523861
12144,726563	-60,781982
12230,859375	-62,270180
12316,992188	-62,836750
12403,125000	-62,920498
12489,257813	-64,300804
12575,390625	-66,068558
12661,523438	-68,471756
12747,656250	-71,110153
12833,789063	-72,669823
12919,921875	-74,050140
13006,054688	-78,510628
13092,187500	-79,893654
13178,320313	-78,645569
13264,453125	-77,624580
13350,585938	-77,478569
13436,718750	-78,320137
13522,851563	-80,640381
13608,984375	-81,953766
13695,117188	-83,140884
13781,250000	-84,640282
13867,382813	-84,865326
13953,515625	-86,374130
14039,648438	-86,010521
14125,781250	-85,545166
14211,914063	-85,278587
14298,046875	-86,183189
14384,179688	-85,076500
14470,312500	-85,066376
14556,445313	-85,798302
14642,578125	-86,017845
14728,710938	-86,071022
14814,843750	-85,803627
14900,976563	-85,666527
14987,109375	-86,234718
15073,242188	-86,613144
15159,375000	-85,687386
15245,507813	-85,722839
15331,640625	-85,891380
15417,773438	-85,554222
15503,906250	-85,864113
15590,039063	-85,679535
15676,171875	-85,674721
15762,304688	-85,439110
15848,437500	-85,724922
15934,570313	-85,059196
16020,703125	-85,477768
16106,835938	-84,971893
16192,968750	-84,161385
16279,101563	-84,649139
16365,234375	-86,183167
16451,367188	-85,895798
16537,500000	-85,250290
16623,632813	-84,844826
16709,765625	-84,741753
16795,898438	-84,828110
16882,031250	-84,680321
16968,164063	-83,743080
17054,296875	-84,447281
17140,429688	-84,966881
17226,562500	-83,916374
17312,695313	-84,193771
17398,828125	-84,472427
17484,960938	-84,041183
17571,093750	-83,623573
17657,226563	-84,061134
17743,359375	-84,487717
17829,492188	-84,326469
17915,625000	-84,135414
18001,757813	-83,999237
18087,890625	-83,930344
18174,023438	-83,861984
18260,156250	-83,667130
18346,289063	-83,895714
18432,421875	-84,121964
18518,554688	-84,522224
18604,687500	-83,883377
18690,820313	-82,916870
18776,953125	-83,547264
18863,085938	-83,830177
18949,218750	-83,054550
19035,351563	-83,686188
19121,484375	-83,579399
19207,617188	-83,027687
19293,750000	-82,522446
19379,882813	-82,378410
19466,015625	-82,885666
19552,148438	-83,069511
19638,281250	-82,385841
19724,414063	-83,818954
19810,546875	-83,243866
19896,679688	-82,857956
19982,812500	-82,502121
20068,945313	-82,637489
20155,078125	-83,303169
20241,210938	-83,344124
20327,343750	-83,184601
20413,476563	-82,190559
20499,609375	-82,099747
20585,742188	-82,632805
20671,875000	-83,864998
20758,007813	-84,308922
20844,140625	-84,458366
20930,273438	-84,738411
21016,406250	-84,914719
21102,539063	-85,321701
21188,671875	-85,994637
21274,804688	-86,696373
21360,937500	-87,229416
21447,070313	-87,600739
21533,203125	-87,761650
21619,335938	-88,767693
21705,468750	-89,217598
21791,601563	-90,588455
21877,734375	-91,182091
21963,867188	-91,570564
