Frecuencia (Hz)	volumen (dB)
86,132813	-59,718742
172,265625	-45,987411
258,398438	-29,229448
344,531250	-18,683928
430,664063	-15,900409
516,796875	-19,373728
602,929688	-30,606726
689,062500	-31,883776
775,195313	-29,938307
861,328125	-34,933868
947,460938	-40,542465
1033,593750	-42,900433
1119,726563	-45,121269
1205,859375	-43,910088
1291,992188	-46,058300
1378,125000	-48,157661
1464,257813	-51,798210
1550,390625	-60,923607
1636,523438	-63,183083
1722,656250	-59,116821
1808,789063	-60,587833
1894,921875	-65,520119
1981,054688	-64,271835
2067,187500	-62,136265
2153,320313	-64,466820
2239,453125	-63,795696
2325,585938	-66,139801
2411,718750	-65,855232
2497,851563	-60,705261
2583,984375	-63,487267
2670,117188	-68,230461
2756,250000	-69,182869
2842,382813	-70,560387
2928,515625	-64,262115
3014,648438	-57,363552
3100,781250	-51,219887
3186,914063	-48,402569
3273,046875	-50,364826
3359,179688	-54,571407
3445,312500	-60,350849
3531,445313	-61,836369
3617,578125	-65,244354
3703,710938	-66,362457
3789,843750	-68,130104
3875,976563	-71,469559
3962,109375	-69,739105
4048,242188	-62,456203
4134,375000	-55,661915
4220,507813	-50,718430
4306,640625	-48,433113
4392,773438	-48,126350
4478,906250	-47,881317
4565,039063	-46,755711
4651,171875	-47,374371
4737,304688	-50,062695
4823,437500	-53,331028
4909,570313	-58,766232
4995,703125	-61,174507
5081,835938	-59,535881
5167,968750	-59,216316
5254,101563	-54,517197
5340,234375	-52,820915
5426,367188	-56,568806
5512,500000	-62,022961
5598,632813	-64,819344
5684,765625	-68,117523
5770,898438	-75,906540
5857,031250	-81,704247
5943,164063	-82,750023
6029,296875	-81,805817
6115,429688	-82,214157
6201,562500	-84,628799
6287,695313	-82,689278
6373,828125	-82,148827
6459,960938	-82,113487
6546,093750	-81,519508
6632,226563	-79,767410
6718,359375	-79,089767
6804,492188	-79,909561
6890,625000	-77,186234
6976,757813	-69,842590
7062,890625	-66,541847
7149,023438	-64,268440
7235,156250	-60,975868
7321,289063	-58,865417
7407,421875	-57,434319
7493,554688	-55,748814
7579,687500	-55,654953
7665,820313	-56,617226
7751,953125	-57,309288
7838,085938	-59,556164
7924,218750	-59,955273
8010,351563	-60,214993
8096,484375	-63,600208
8182,617188	-64,902374
8268,750000	-60,088844
8354,882813	-58,957134
8441,015625	-58,253742
8527,148438	-53,685246
8613,281250	-49,378017
8699,414063	-47,708477
8785,546875	-48,867729
8871,679688	-49,901821
8957,812500	-50,642395
9043,945313	-51,331474
9130,078125	-53,033600
9216,210938	-55,093540
9302,343750	-54,716270
9388,476563	-56,635666
9474,609375	-59,825665
9560,742188	-62,284473
9646,875000	-64,421852
9733,007813	-65,877998
9819,140625	-66,467308
9905,273438	-68,533539
9991,406250	-71,650940
10077,539063	-73,791557
10163,671875	-72,307198
10249,804688	-69,218536
10335,937500	-67,282944
10422,070313	-64,846199
10508,203125	-62,873837
10594,335938	-60,506119
10680,468750	-58,772976
10766,601563	-58,230240
10852,734375	-60,395130
10938,867188	-58,794025
11025,000000	-58,756611
11111,132813	-59,214771
11197,265625	-59,737885
11283,398438	-62,786957
11369,531250	-66,120567
11455,664063	-66,995064
11541,796875	-69,725426
11627,929688	-77,190765
11714,062500	-80,026924
11800,195313	-78,943321
11886,328125	-77,364456
11972,460938	-76,127480
12058,593750	-70,646248
12144,726563	-71,273552
12230,859375	-75,528236
12316,992188	-70,213737
12403,125000	-66,386017
12489,257813	-67,300278
12575,390625	-70,774666
12661,523438	-71,366295
12747,656250	-73,765289
12833,789063	-74,488968
12919,921875	-73,143120
13006,054688	-75,382454
13092,187500	-79,084976
13178,320313	-76,681236
13264,453125	-76,207283
13350,585938	-74,131477
13436,718750	-73,222427
13522,851563	-71,831207
13608,984375	-70,744202
13695,117188	-72,276558
13781,250000	-78,946663
13867,382813	-86,335037
13953,515625	-86,268745
14039,648438	-86,573051
14125,781250	-85,211594
14211,914063	-82,888939
14298,046875	-83,085777
14384,179688	-83,585365
14470,312500	-83,970604
14556,445313	-84,800766
14642,578125	-84,506714
14728,710938	-84,711082
14814,843750	-86,363693
14900,976563	-86,814995
14987,109375	-87,020676
15073,242188	-87,236168
15159,375000	-86,348595
15245,507813	-86,544342
15331,640625	-87,230492
15417,773438	-86,303391
15503,906250	-85,912392
15590,039063	-86,648705
15676,171875	-86,000961
15762,304688	-86,254593
15848,437500	-86,183624
15934,570313	-86,264870
16020,703125	-86,153214
16106,835938	-86,115265
16192,968750	-84,847786
16279,101563	-85,346481
16365,234375	-85,545242
16451,367188	-86,195251
16537,500000	-86,772697
16623,632813	-85,802475
16709,765625	-86,781219
16795,898438	-85,484703
16882,031250	-84,853600
16968,164063	-84,623253
17054,296875	-84,876442
17140,429688	-85,639389
17226,562500	-85,579285
17312,695313	-85,263412
17398,828125	-85,277817
17484,960938	-85,263672
17571,093750	-84,798187
17657,226563	-84,615997
17743,359375	-84,258194
17829,492188	-84,420090
17915,625000	-83,944931
18001,757813	-84,407730
18087,890625	-83,376656
18174,023438	-84,039543
18260,156250	-85,670876
18346,289063	-85,819023
18432,421875	-84,500145
18518,554688	-83,937531
18604,687500	-83,857857
18690,820313	-83,379890
18776,953125	-83,889923
18863,085938	-83,947533
18949,218750	-83,719460
19035,351563	-83,190125
19121,484375	-83,938881
19207,617188	-83,331856
19293,750000	-82,235947
19379,882813	-82,431831
19466,015625	-82,765831
19552,148438	-82,706070
19638,281250	-83,179779
19724,414063	-83,381271
19810,546875	-83,230225
19896,679688	-83,324677
19982,812500	-84,024521
20068,945313	-84,726273
20155,078125	-83,851944
20241,210938	-82,285591
20327,343750	-82,841248
20413,476563	-82,032654
20499,609375	-82,612778
20585,742188	-83,706451
20671,875000	-83,882828
20758,007813	-84,755592
20844,140625	-84,528069
20930,273438	-84,536476
21016,406250	-85,352524
21102,539063	-85,264740
21188,671875	-85,316803
21274,804688	-87,498901
21360,937500	-87,627983
21447,070313	-88,431389
21533,203125	-88,571487
21619,335938	-88,983971
21705,468750	-89,762451
21791,601563	-89,567764
21877,734375	-90,248375
21963,867188	-90,712845
