Frecuencia (Hz)	volumen (dB)
86,132813	-70,369888
172,265625	-56,460663
258,398438	-50,162693
344,531250	-31,947144
430,664063	-28,068949
516,796875	-34,016079
602,929688	-31,044191
689,062500	-31,539944
775,195313	-30,885138
861,328125	-26,528578
947,460938	-18,514439
1033,593750	-13,810107
1119,726563	-17,986296
1205,859375	-20,699888
1291,992188	-22,180445
1378,125000	-19,434189
1464,257813	-17,282454
1550,390625	-19,793716
1636,523438	-17,306774
1722,656250	-21,100351
1808,789063	-26,484091
1894,921875	-30,739647
1981,054688	-37,784649
2067,187500	-38,709969
2153,320313	-43,982716
2239,453125	-41,445644
2325,585938	-41,160233
2411,718750	-38,096603
2497,851563	-35,345093
2583,984375	-33,986069
2670,117188	-29,535961
2756,250000	-28,063065
2842,382813	-25,632227
2928,515625	-26,292685
3014,648438	-31,596502
3100,781250	-35,998260
3186,914063	-40,982475
3273,046875	-44,478592
3359,179688	-43,362648
3445,312500	-40,278610
3531,445313	-38,114079
3617,578125	-37,370979
3703,710938	-36,203773
3789,843750	-37,187862
3875,976563	-36,336483
3962,109375	-36,262482
4048,242188	-38,202843
4134,375000	-36,448730
4220,507813	-37,178974
4306,640625	-40,922409
4392,773438	-47,608444
4478,906250	-57,008930
4565,039063	-55,899628
4651,171875	-52,162842
4737,304688	-52,843510
4823,437500	-55,998104
4909,570313	-57,709209
4995,703125	-56,640114
5081,835938	-54,042904
5167,968750	-50,160805
5254,101563	-49,354103
5340,234375	-48,155514
5426,367188	-48,909054
5512,500000	-53,025455
5598,632813	-58,390095
5684,765625	-61,075554
5770,898438	-58,522751
5857,031250	-53,888607
5943,164063	-49,650974
6029,296875	-46,736237
6115,429688	-46,799709
6201,562500	-45,684311
6287,695313	-46,275867
6373,828125	-43,473591
6459,960938	-43,937321
6546,093750	-46,475124
6632,226563	-46,847118
6718,359375	-51,326054
6804,492188	-54,252186
6890,625000	-58,319740
6976,757813	-58,286278
7062,890625	-56,605194
7149,023438	-52,655060
7235,156250	-49,892159
7321,289063	-49,243259
7407,421875	-44,419144
7493,554688	-43,913284
7579,687500	-43,144051
7665,820313	-42,964108
7751,953125	-44,880936
7838,085938	-45,685703
7924,218750	-47,449089
8010,351563	-45,443748
8096,484375	-44,308250
8182,617188	-44,802513
8268,750000	-44,808296
8354,882813	-45,502213
8441,015625	-48,760597
8527,148438	-53,724854
8613,281250	-57,732628
8699,414063	-60,657509
8785,546875	-63,156269
8871,679688	-62,165993
8957,812500	-59,195099
9043,945313	-56,412895
9130,078125	-56,763809
9216,210938	-55,592861
9302,343750	-55,593529
9388,476563	-55,430691
9474,609375	-52,727726
9560,742188	-51,972420
9646,875000	-51,631939
9733,007813	-52,049297
9819,140625	-53,241161
9905,273438	-55,332680
9991,406250	-58,014702
10077,539063	-61,869148
10163,671875	-66,733650
10249,804688	-65,832283
10335,937500	-60,005142
10422,070313	-56,520706
10508,203125	-52,657463
10594,335938	-51,055729
10680,468750	-50,471310
10766,601563	-52,375031
10852,734375	-56,391548
10938,867188	-58,181950
11025,000000	-62,029507
11111,132813	-63,914848
11197,265625	-61,673309
11283,398438	-57,518909
11369,531250	-55,184784
11455,664063	-55,022507
11541,796875	-55,060307
11627,929688	-55,683975
11714,062500	-56,415646
11800,195313	-54,651661
11886,328125	-55,028160
11972,460938	-60,109627
12058,593750	-62,753651
12144,726563	-63,549534
12230,859375	-63,834652
12316,992188	-64,469292
12403,125000	-63,189243
12489,257813	-61,602192
12575,390625	-61,757793
12661,523438	-60,391193
12747,656250	-60,010887
12833,789063	-59,204258
12919,921875	-58,305450
13006,054688	-60,459694
13092,187500	-58,556126
13178,320313	-59,892376
13264,453125	-61,440277
13350,585938	-62,905956
13436,718750	-67,931992
13522,851563	-70,704689
13608,984375	-74,390045
13695,117188	-72,546707
13781,250000	-71,073105
13867,382813	-66,504616
13953,515625	-63,783337
14039,648438	-63,121399
14125,781250	-61,670265
14211,914063	-62,483414
14298,046875	-62,979103
14384,179688	-63,244724
14470,312500	-66,994209
14556,445313	-70,395821
14642,578125	-72,436165
14728,710938	-77,442482
14814,843750	-81,445457
14900,976563	-82,802422
14987,109375	-76,469246
15073,242188	-71,179466
15159,375000	-69,910324
15245,507813	-67,740982
15331,640625	-66,310448
15417,773438	-66,775940
15503,906250	-66,211914
15590,039063	-66,224762
15676,171875	-66,393303
15762,304688	-68,194565
15848,437500	-70,579109
15934,570313	-72,259026
16020,703125	-77,769791
16106,835938	-81,443695
16192,968750	-83,357986
16279,101563	-81,410294
16365,234375	-78,595787
16451,367188	-76,951424
16537,500000	-71,609718
16623,632813	-68,865387
16709,765625	-69,134430
16795,898438	-70,065681
16882,031250	-71,681610
16968,164063	-71,921196
17054,296875	-72,368568
17140,429688	-73,665985
17226,562500	-75,226997
17312,695313	-78,826660
17398,828125	-81,912086
17484,960938	-81,660416
17571,093750	-78,955330
17657,226563	-75,979980
17743,359375	-76,120811
17829,492188	-78,258827
17915,625000	-78,570473
18001,757813	-80,861366
18087,890625	-82,745949
18174,023438	-83,789223
18260,156250	-84,820824
18346,289063	-83,806541
18432,421875	-83,506470
18518,554688	-82,915314
18604,687500	-82,822456
18690,820313	-82,395554
18776,953125	-82,294846
18863,085938	-82,909569
18949,218750	-83,642876
19035,351563	-83,822075
19121,484375	-84,231537
19207,617188	-83,725868
19293,750000	-83,827171
19379,882813	-82,663406
19466,015625	-81,954094
19552,148438	-82,424736
19638,281250	-83,145287
19724,414063	-82,522652
19810,546875	-81,710785
19896,679688	-82,246437
19982,812500	-82,754311
20068,945313	-82,648285
20155,078125	-82,607475
20241,210938	-82,347458
20327,343750	-81,519386
20413,476563	-82,454597
20499,609375	-82,947090
20585,742188	-82,736343
20671,875000	-83,099884
20758,007813	-83,919647
20844,140625	-83,760254
20930,273438	-84,520889
21016,406250	-84,510582
21102,539063	-85,082848
21188,671875	-85,814407
21274,804688	-86,790314
21360,937500	-87,432381
21447,070313	-87,541824
21533,203125	-88,214775
21619,335938	-87,946205
21705,468750	-88,920914
21791,601563	-89,654945
21877,734375	-91,283363
21963,867188	-91,397377
