Frecuencia (Hz)	volumen (dB)
86,132813	-66,110992
172,265625	-51,518890
258,398438	-45,500202
344,531250	-24,140326
430,664063	-18,914236
516,796875	-23,548016
602,929688	-30,348093
689,062500	-37,474842
775,195313	-47,095051
861,328125	-45,975632
947,460938	-52,243080
1033,593750	-50,366646
1119,726563	-52,396214
1205,859375	-52,469398
1291,992188	-49,605724
1378,125000	-52,368587
1464,257813	-45,845142
1550,390625	-48,252693
1636,523438	-43,253345
1722,656250	-41,185005
1808,789063	-45,439526
1894,921875	-39,010185
1981,054688	-41,507885
2067,187500	-38,246979
2153,320313	-37,308678
2239,453125	-36,198929
2325,585938	-30,501417
2411,718750	-34,779804
2497,851563	-30,232996
2583,984375	-29,286272
2670,117188	-29,121449
2756,250000	-23,932714
2842,382813	-28,242088
2928,515625	-25,243204
3014,648438	-25,814669
3100,781250	-34,689289
3186,914063	-33,350075
3273,046875	-40,125973
3359,179688	-44,345398
3445,312500	-45,775749
3531,445313	-41,903965
3617,578125	-38,341354
3703,710938	-40,058216
3789,843750	-33,256023
3875,976563	-35,375664
3962,109375	-31,961014
4048,242188	-29,463518
4134,375000	-33,618191
4220,507813	-28,466940
4306,640625	-31,589540
4392,773438	-37,750950
4478,906250	-37,379814
4565,039063	-45,385872
4651,171875	-50,784618
4737,304688	-54,647434
4823,437500	-58,869789
4909,570313	-60,152889
4995,703125	-67,936768
5081,835938	-70,924271
5167,968750	-65,877663
5254,101563	-57,572849
5340,234375	-57,095909
5426,367188	-60,556591
5512,500000	-58,012936
5598,632813	-63,915569
5684,765625	-62,328281
5770,898438	-62,819981
5857,031250	-68,230408
5943,164063	-69,227852
6029,296875	-62,240646
6115,429688	-53,588577
6201,562500	-53,474812
6287,695313	-51,193684
6373,828125	-47,318020
6459,960938	-49,207493
6546,093750	-45,474197
6632,226563	-44,789055
6718,359375	-44,517754
6804,492188	-42,936695
6890,625000	-47,279583
6976,757813	-48,660408
7062,890625	-49,097790
7149,023438	-50,083469
7235,156250	-49,543629
7321,289063	-53,701050
7407,421875	-50,030479
7493,554688	-45,992691
7579,687500	-46,042255
7665,820313	-47,377060
7751,953125	-48,427078
7838,085938	-45,067162
7924,218750	-43,753929
8010,351563	-43,948051
8096,484375	-44,345455
8182,617188	-46,308598
8268,750000	-44,440659
8354,882813	-44,942577
8441,015625	-42,722229
8527,148438	-41,525227
8613,281250	-40,427872
8699,414063	-39,182281
8785,546875	-41,848808
8871,679688	-44,654732
8957,812500	-45,909679
9043,945313	-48,522511
9130,078125	-48,417603
9216,210938	-50,266941
9302,343750	-51,406109
9388,476563	-53,656166
9474,609375	-52,900604
9560,742188	-47,698624
9646,875000	-46,388676
9733,007813	-45,733517
9819,140625	-43,942978
9905,273438	-44,544800
9991,406250	-42,749500
10077,539063	-44,065228
10163,671875	-48,974209
10249,804688	-50,768921
10335,937500	-54,837894
10422,070313	-56,109833
10508,203125	-53,537430
10594,335938	-53,301735
10680,468750	-52,851860
10766,601563	-53,038746
10852,734375	-52,633026
10938,867188	-53,546684
11025,000000	-56,676605
11111,132813	-59,188519
11197,265625	-62,046257
11283,398438	-65,232948
11369,531250	-69,242691
11455,664063	-72,018127
