Frecuencia (Hz)	volumen (dB)
86,132813	-61,572021
172,265625	-45,731663
258,398438	-40,379276
344,531250	-27,759081
430,664063	-21,033026
516,796875	-25,357784
602,929688	-42,899632
689,062500	-41,769951
775,195313	-39,290691
861,328125	-45,022278
947,460938	-55,831070
1033,593750	-58,306267
1119,726563	-55,035385
1205,859375	-56,274624
1291,992188	-56,677334
1378,125000	-57,966560
1464,257813	-56,438114
1550,390625	-57,100838
1636,523438	-60,335991
1722,656250	-59,377224
1808,789063	-60,031647
1894,921875	-59,088963
1981,054688	-55,933186
2067,187500	-57,880302
2153,320313	-57,974545
2239,453125	-58,396862
2325,585938	-51,571484
2411,718750	-43,278542
2497,851563	-36,507870
2583,984375	-30,624681
2670,117188	-30,609880
2756,250000	-33,590408
2842,382813	-32,095848
2928,515625	-34,493843
3014,648438	-32,181908
3100,781250	-30,711029
3186,914063	-33,255974
3273,046875	-33,797733
3359,179688	-39,667713
3445,312500	-43,810413
3531,445313	-43,124878
3617,578125	-40,974590
3703,710938	-36,738029
3789,843750	-37,023418
3875,976563	-31,921778
3962,109375	-30,729696
4048,242188	-30,282438
4134,375000	-25,689480
4220,507813	-28,897793
4306,640625	-35,215462
4392,773438	-38,514240
4478,906250	-47,045681
4565,039063	-52,304398
4651,171875	-57,145802
4737,304688	-62,148323
4823,437500	-61,398289
4909,570313	-55,299229
4995,703125	-52,513329
5081,835938	-55,636562
5167,968750	-57,500305
5254,101563	-54,194183
5340,234375	-52,700821
5426,367188	-49,120544
5512,500000	-50,639923
5598,632813	-53,212791
5684,765625	-53,497585
5770,898438	-57,289421
5857,031250	-57,964531
5943,164063	-60,965168
6029,296875	-58,003208
6115,429688	-52,613369
6201,562500	-50,228695
6287,695313	-44,507957
6373,828125	-42,865032
6459,960938	-44,683002
6546,093750	-46,248413
6632,226563	-50,967083
6718,359375	-53,778851
6804,492188	-55,852684
6890,625000	-55,703678
6976,757813	-52,249897
7062,890625	-53,791313
7149,023438	-52,945610
7235,156250	-55,071003
7321,289063	-62,196930
7407,421875	-57,940411
7493,554688	-53,516045
7579,687500	-45,911861
7665,820313	-42,909794
7751,953125	-40,772671
7838,085938	-39,342640
7924,218750	-40,894054
8010,351563	-40,041817
8096,484375	-40,535347
8182,617188	-44,101948
8268,750000	-46,720100
8354,882813	-51,060326
8441,015625	-58,196766
8527,148438	-62,751419
8613,281250	-61,848003
8699,414063	-57,880547
8785,546875	-54,050957
8871,679688	-54,318916
8957,812500	-53,959267
9043,945313	-52,975742
9130,078125	-53,921158
9216,210938	-52,906456
9302,343750	-52,947548
9388,476563	-54,823380
9474,609375	-55,059799
9560,742188	-56,593983
9646,875000	-57,966572
9733,007813	-61,552330
9819,140625	-64,916595
9905,273438	-62,675835
9991,406250	-58,297081
10077,539063	-56,574818
10163,671875	-55,301205
10249,804688	-56,168125
10335,937500	-60,689487
10422,070313	-64,758026
10508,203125	-66,308571
10594,335938	-63,395889
10680,468750	-60,682190
10766,601563	-59,007782
10852,734375	-56,817657
10938,867188	-55,854122
11025,000000	-55,464680
11111,132813	-54,676125
11197,265625	-54,426735
11283,398438	-54,646061
11369,531250	-58,157784
11455,664063	-62,553425
11541,796875	-64,101837
11627,929688	-67,512894
11714,062500	-72,693657
11800,195313	-71,925308
11886,328125	-64,967247
11972,460938	-62,907204
12058,593750	-64,323990
12144,726563	-61,503246
12230,859375	-61,867500
12316,992188	-61,228317
12403,125000	-59,911751
12489,257813	-61,914894
12575,390625	-64,444008
12661,523438	-67,571457
12747,656250	-74,019241
12833,789063	-80,956169
12919,921875	-83,378563
13006,054688	-84,077927
13092,187500	-84,585320
13178,320313	-79,936546
13264,453125	-74,903564
13350,585938	-74,776512
13436,718750	-73,676140
13522,851563	-74,488724
13608,984375	-77,571304
13695,117188	-78,275986
13781,250000	-80,216805
13867,382813	-80,016655
13953,515625	-82,345146
14039,648438	-84,904221
14125,781250	-85,016113
14211,914063	-85,123764
14298,046875	-83,378517
14384,179688	-81,220352
14470,312500	-74,306839
14556,445313	-70,639458
14642,578125	-68,706955
14728,710938	-64,607368
14814,843750	-61,891979
14900,976563	-61,413727
14987,109375	-62,708984
15073,242188	-65,536453
15159,375000	-69,195236
15245,507813	-70,373032
15331,640625	-69,306297
15417,773438	-71,262238
15503,906250	-76,415909
15590,039063	-75,720085
15676,171875	-74,273376
15762,304688	-74,668137
15848,437500	-77,382538
15934,570313	-76,789284
16020,703125	-76,418312
16106,835938	-76,619995
16192,968750	-75,455124
16279,101563	-78,363327
16365,234375	-79,582626
16451,367188	-79,862236
16537,500000	-81,203438
16623,632813	-82,739067
16709,765625	-84,172264
16795,898438	-84,162773
16882,031250	-84,696800
16968,164063	-83,730499
17054,296875	-82,750473
17140,429688	-82,826187
17226,562500	-83,251068
17312,695313	-83,103943
17398,828125	-83,200294
17484,960938	-83,871101
17571,093750	-83,476692
17657,226563	-83,715050
17743,359375	-82,829498
17829,492188	-83,346092
17915,625000	-83,982925
18001,757813	-83,184875
18087,890625	-83,111443
18174,023438	-83,762695
18260,156250	-83,449913
18346,289063	-83,248093
18432,421875	-84,227501
18518,554688	-84,244400
18604,687500	-83,534706
18690,820313	-84,058899
18776,953125	-83,105133
18863,085938	-83,136124
18949,218750	-82,662903
19035,351563	-81,764320
19121,484375	-81,489136
19207,617188	-81,105263
19293,750000	-81,431641
19379,882813	-81,932343
19466,015625	-82,103806
19552,148438	-83,195969
19638,281250	-82,538528
19724,414063	-82,494591
19810,546875	-83,443939
19896,679688	-83,535606
19982,812500	-82,768051
20068,945313	-82,971626
20155,078125	-83,380753
20241,210938	-83,542343
20327,343750	-81,414871
20413,476563	-81,341110
20499,609375	-82,580490
20585,742188	-82,698090
20671,875000	-83,976044
20758,007813	-84,600952
20844,140625	-84,037132
20930,273438	-84,305237
21016,406250	-85,604172
21102,539063	-85,840927
21188,671875	-85,950768
21274,804688	-86,905518
21360,937500	-86,504662
21447,070313	-86,444885
21533,203125	-88,088776
21619,335938	-88,451363
21705,468750	-88,182281
21791,601563	-89,720619
21877,734375	-90,856880
21963,867188	-90,381325
