Frecuencia (Hz)	volumen (dB)
86,132813	-67,608429
172,265625	-50,857803
258,398438	-43,648293
344,531250	-28,442400
430,664063	-21,835779
516,796875	-21,903648
602,929688	-23,394281
689,062500	-27,502098
775,195313	-37,670269
861,328125	-35,001320
947,460938	-29,075331
1033,593750	-22,867609
1119,726563	-26,406288
1205,859375	-36,145802
1291,992188	-41,658638
1378,125000	-47,667877
1464,257813	-49,581589
1550,390625	-54,027931
1636,523438	-57,293045
1722,656250	-56,813072
1808,789063	-57,524960
1894,921875	-60,700500
1981,054688	-62,028236
2067,187500	-62,069942
2153,320313	-62,717442
2239,453125	-63,811886
2325,585938	-63,479866
2411,718750	-61,889332
2497,851563	-62,318630
2583,984375	-61,352882
2670,117188	-56,765667
2756,250000	-51,967445
2842,382813	-41,804813
2928,515625	-38,498405
3014,648438	-42,968719
3100,781250	-46,617477
3186,914063	-49,678043
3273,046875	-59,836178
3359,179688	-62,296455
3445,312500	-62,501392
3531,445313	-55,385479
3617,578125	-51,226406
3703,710938	-43,775108
3789,843750	-40,876434
3875,976563	-39,154072
3962,109375	-37,934723
4048,242188	-43,316868
4134,375000	-46,851883
4220,507813	-47,282452
4306,640625	-52,215687
4392,773438	-52,748070
4478,906250	-59,671837
4565,039063	-70,422653
4651,171875	-72,850677
4737,304688	-74,689186
4823,437500	-75,545280
4909,570313	-73,229347
4995,703125	-69,297592
5081,835938	-69,858009
5167,968750	-70,721672
5254,101563	-70,749435
5340,234375	-73,525696
5426,367188	-73,866806
5512,500000	-75,551865
5598,632813	-73,417030
5684,765625	-74,171333
5770,898438	-76,136444
5857,031250	-75,858307
5943,164063	-76,280022
6029,296875	-76,146019
6115,429688	-72,410881
6201,562500	-65,765305
6287,695313	-65,490013
6373,828125	-71,907349
6459,960938	-70,437645
6546,093750	-74,259468
6632,226563	-74,121429
6718,359375	-74,324356
6804,492188	-72,272209
6890,625000	-68,970192
6976,757813	-65,753448
7062,890625	-60,422157
7149,023438	-59,050770
7235,156250	-54,787643
7321,289063	-52,517040
7407,421875	-55,134441
7493,554688	-52,085415
7579,687500	-52,260433
7665,820313	-49,309525
7751,953125	-46,608509
7838,085938	-46,417191
7924,218750	-45,921986
8010,351563	-46,217381
8096,484375	-47,741184
8182,617188	-48,912785
8268,750000	-51,307617
8354,882813	-56,058105
8441,015625	-59,845596
8527,148438	-66,608620
8613,281250	-68,990494
8699,414063	-71,206566
8785,546875	-69,761848
8871,679688	-66,539658
8957,812500	-65,300499
9043,945313	-58,771217
9130,078125	-53,833698
9216,210938	-51,734261
9302,343750	-49,527679
9388,476563	-49,355938
9474,609375	-51,080925
9560,742188	-50,652020
9646,875000	-51,269669
9733,007813	-53,951717
9819,140625	-54,932590
9905,273438	-55,680748
9991,406250	-51,120422
10077,539063	-50,615372
10163,671875	-52,279041
10249,804688	-54,269951
10335,937500	-55,487267
10422,070313	-55,299408
10508,203125	-57,621143
10594,335938	-59,796638
10680,468750	-58,624233
10766,601563	-59,331768
10852,734375	-60,041988
10938,867188	-57,846863
11025,000000	-57,002674
11111,132813	-54,931671
11197,265625	-54,298454
11283,398438	-53,645439
11369,531250	-56,233959
11455,664063	-59,919643
11541,796875	-60,291386
11627,929688	-59,648342
11714,062500	-57,821331
11800,195313	-56,659828
11886,328125	-59,479923
11972,460938	-57,043053
12058,593750	-54,329624
12144,726563	-55,392048
12230,859375	-52,983963
12316,992188	-50,241508
12403,125000	-48,473461
12489,257813	-50,436966
12575,390625	-50,222488
12661,523438	-55,301208
12747,656250	-65,010719
12833,789063	-63,130535
12919,921875	-60,785595
13006,054688	-61,218685
13092,187500	-59,603001
13178,320313	-61,896454
13264,453125	-65,393112
13350,585938	-63,508339
13436,718750	-67,623367
13522,851563	-76,232178
13608,984375	-79,617836
13695,117188	-79,187569
13781,250000	-78,723808
13867,382813	-82,728416
13953,515625	-82,662422
14039,648438	-82,138885
14125,781250	-84,155144
14211,914063	-86,019234
14298,046875	-86,520424
14384,179688	-84,725204
14470,312500	-84,643929
14556,445313	-85,515121
14642,578125	-85,678795
14728,710938	-84,267166
14814,843750	-82,694069
14900,976563	-83,301552
14987,109375	-80,268799
15073,242188	-79,826553
15159,375000	-82,724136
15245,507813	-83,219810
15331,640625	-80,526978
15417,773438	-77,811035
15503,906250	-79,788551
15590,039063	-84,100021
15676,171875	-85,613480
15762,304688	-85,815765
15848,437500	-84,494484
15934,570313	-83,970612
16020,703125	-81,188530
16106,835938	-80,498474
16192,968750	-82,512436
16279,101563	-82,275558
16365,234375	-79,600471
16451,367188	-76,843262
16537,500000	-79,627266
16623,632813	-83,015205
16709,765625	-84,893944
16795,898438	-85,529060
16882,031250	-85,324516
16968,164063	-84,653397
17054,296875	-85,231178
17140,429688	-85,049324
17226,562500	-84,554390
17312,695313	-84,091103
17398,828125	-85,244614
17484,960938	-84,960358
17571,093750	-84,640404
17657,226563	-85,079292
17743,359375	-85,463417
17829,492188	-85,481895
17915,625000	-84,436050
18001,757813	-83,719780
18087,890625	-83,434593
18174,023438	-83,989182
18260,156250	-84,480682
18346,289063	-84,089859
18432,421875	-84,822243
18518,554688	-84,770538
18604,687500	-84,347008
18690,820313	-83,272385
18776,953125	-83,277977
18863,085938	-83,067352
18949,218750	-83,880058
19035,351563	-84,394356
19121,484375	-84,158524
19207,617188	-83,760185
19293,750000	-83,834831
19379,882813	-82,948708
19466,015625	-82,469658
19552,148438	-82,186203
19638,281250	-82,292290
19724,414063	-82,840233
19810,546875	-83,155434
19896,679688	-82,693199
19982,812500	-82,166283
20068,945313	-82,509003
20155,078125	-82,480766
20241,210938	-82,272842
20327,343750	-81,967735
20413,476563	-82,616989
20499,609375	-83,504036
20585,742188	-83,758827
20671,875000	-84,337967
20758,007813	-85,026115
20844,140625	-84,101013
20930,273438	-83,888283
21016,406250	-84,625137
21102,539063	-86,132652
21188,671875	-86,238312
21274,804688	-87,044441
21360,937500	-86,093231
21447,070313	-87,180626
21533,203125	-87,856575
21619,335938	-88,624130
21705,468750	-90,310371
21791,601563	-90,285858
21877,734375	-89,350998
21963,867188	-89,344009
