Frecuencia (Hz)	volumen (dB)
86,132813	-61,131935
172,265625	-48,760128
258,398438	-40,523724
344,531250	-20,194685
430,664063	-14,133095
516,796875	-19,117369
602,929688	-39,099289
689,062500	-45,369358
775,195313	-43,878532
861,328125	-40,072216
947,460938	-45,143097
1033,593750	-55,641651
1119,726563	-58,254776
1205,859375	-62,964115
1291,992188	-59,576843
1378,125000	-58,688023
1464,257813	-65,438782
1550,390625	-68,508827
1636,523438	-70,681252
1722,656250	-70,995598
1808,789063	-70,352005
1894,921875	-70,693550
1981,054688	-71,645935
2067,187500	-73,281624
2153,320313	-73,787575
2239,453125	-73,278946
2325,585938	-72,950317
2411,718750	-73,818649
2497,851563	-73,971169
2583,984375	-72,830467
2670,117188	-64,696350
2756,250000	-59,883492
2842,382813	-52,493965
2928,515625	-48,013435
3014,648438	-52,813610
3100,781250	-61,747055
3186,914063	-63,313892
3273,046875	-69,082870
3359,179688	-72,808022
3445,312500	-74,154755
3531,445313	-67,087563
3617,578125	-60,484764
3703,710938	-53,634102
3789,843750	-44,199284
3875,976563	-43,777439
3962,109375	-52,047752
4048,242188	-57,932156
4134,375000	-60,084167
4220,507813	-56,948635
4306,640625	-56,817986
4392,773438	-63,382416
4478,906250	-70,630005
4565,039063	-76,498634
4651,171875	-75,533821
4737,304688	-73,592827
4823,437500	-77,391968
4909,570313	-79,960464
4995,703125	-80,069374
5081,835938	-78,212814
5167,968750	-72,605911
5254,101563	-71,806274
5340,234375	-71,693665
5426,367188	-71,091072
5512,500000	-75,828384
5598,632813	-78,931244
5684,765625	-80,005173
5770,898438	-80,392372
5857,031250	-80,992470
5943,164063	-80,867119
6029,296875	-81,552025
6115,429688	-81,689972
6201,562500	-80,739922
6287,695313	-81,293800
6373,828125	-80,986458
6459,960938	-80,849579
6546,093750	-76,658173
6632,226563	-67,349243
6718,359375	-63,796387
6804,492188	-64,608177
6890,625000	-65,952545
6976,757813	-66,654831
7062,890625	-62,347668
7149,023438	-58,806572
7235,156250	-53,503902
7321,289063	-49,262463
7407,421875	-48,919109
7493,554688	-49,699718
7579,687500	-52,572315
7665,820313	-54,113426
7751,953125	-50,643173
7838,085938	-49,171898
7924,218750	-50,100979
8010,351563	-52,627441
8096,484375	-54,815319
8182,617188	-59,276485
8268,750000	-63,106388
8354,882813	-63,348434
8441,015625	-66,587654
8527,148438	-67,241524
8613,281250	-64,563515
8699,414063	-63,910969
8785,546875	-61,284065
8871,679688	-58,498329
8957,812500	-58,297501
9043,945313	-60,390003
9130,078125	-61,967270
9216,210938	-63,541527
9302,343750	-63,438904
9388,476563	-64,188271
9474,609375	-62,479889
9560,742188	-62,484219
9646,875000	-63,674923
9733,007813	-64,901382
9819,140625	-69,015656
9905,273438	-65,992867
9991,406250	-64,335793
10077,539063	-65,559006
10163,671875	-62,627365
10249,804688	-60,437096
10335,937500	-61,193531
10422,070313	-65,485214
10508,203125	-74,761757
10594,335938	-82,031631
10680,468750	-84,570381
10766,601563	-84,041046
10852,734375	-84,403709
10938,867188	-86,375496
11025,000000	-85,823563
11111,132813	-84,765411
11197,265625	-84,120262
11283,398438	-82,299896
11369,531250	-76,435715
11455,664063	-71,145683
11541,796875	-69,413918
11627,929688	-72,875458
11714,062500	-73,739311
11800,195313	-73,959206
11886,328125	-80,065910
11972,460938	-85,178177
12058,593750	-85,981117
12144,726563	-80,281898
12230,859375	-74,936699
12316,992188	-69,150024
12403,125000	-66,343666
12489,257813	-69,239304
12575,390625	-74,333649
12661,523438	-77,242249
12747,656250	-81,333481
12833,789063	-81,554222
