Frecuencia (Hz)	volumen (dB)
86,132813	-69,599342
172,265625	-51,150429
258,398438	-47,949276
344,531250	-44,979218
430,664063	-34,848206
516,796875	-36,088417
602,929688	-43,789375
689,062500	-39,460651
775,195313	-38,430908
861,328125	-22,789604
947,460938	-19,980478
1033,593750	-28,200275
1119,726563	-35,218021
1205,859375	-36,259544
1291,992188	-37,523876
1378,125000	-31,683496
1464,257813	-34,792545
1550,390625	-28,001881
1636,523438	-24,593376
1722,656250	-30,672327
1808,789063	-32,021408
1894,921875	-33,353710
1981,054688	-43,297649
2067,187500	-45,650475
2153,320313	-49,749298
2239,453125	-58,992413
2325,585938	-57,671745
2411,718750	-63,518307
2497,851563	-59,925552
2583,984375	-57,927631
2670,117188	-50,817867
2756,250000	-43,080505
2842,382813	-42,925434
2928,515625	-42,438110
3014,648438	-40,149490
3100,781250	-45,553608
3186,914063	-52,009129
3273,046875	-53,127281
3359,179688	-54,975582
3445,312500	-53,018768
3531,445313	-54,632565
3617,578125	-55,192451
3703,710938	-53,726231
3789,843750	-58,298431
3875,976563	-63,955585
3962,109375	-61,103336
4048,242188	-54,378479
4134,375000	-47,289314
4220,507813	-44,628021
4306,640625	-42,264122
4392,773438	-40,662922
4478,906250	-43,570301
4565,039063	-46,323620
4651,171875	-46,562473
4737,304688	-46,057686
4823,437500	-44,396854
4909,570313	-45,910686
4995,703125	-48,875381
5081,835938	-53,967239
5167,968750	-61,758629
5254,101563	-68,482224
5340,234375	-71,756271
5426,367188	-72,549362
5512,500000	-73,771614
5598,632813	-75,227852
5684,765625	-76,027565
5770,898438	-77,354301
5857,031250	-77,450645
5943,164063	-78,396416
6029,296875	-78,917343
6115,429688	-78,948441
6201,562500	-78,644897
6287,695313	-77,972015
6373,828125	-75,993721
6459,960938	-75,698235
6546,093750	-75,064857
6632,226563	-74,336189
6718,359375	-75,007423
6804,492188	-76,696030
6890,625000	-79,444176
6976,757813	-79,587967
7062,890625	-79,015015
7149,023438	-76,235374
7235,156250	-74,423454
7321,289063	-71,874992
7407,421875	-71,317886
7493,554688	-65,157455
7579,687500	-63,519100
7665,820313	-63,360504
7751,953125	-62,233082
7838,085938	-65,331108
7924,218750	-65,335945
8010,351563	-59,681324
8096,484375	-59,662361
8182,617188	-61,324638
8268,750000	-60,294365
8354,882813	-60,836849
8441,015625	-62,022785
8527,148438	-64,275856
8613,281250	-66,696098
8699,414063	-61,187607
8785,546875	-56,242844
8871,679688	-52,433716
8957,812500	-51,111504
9043,945313	-52,481190
9130,078125	-51,866432
9216,210938	-53,035789
9302,343750	-56,914192
9388,476563	-55,874081
9474,609375	-57,702396
9560,742188	-60,330399
9646,875000	-59,095501
9733,007813	-60,752380
9819,140625	-59,739662
9905,273438	-57,625816
9991,406250	-60,882275
10077,539063	-65,036209
10163,671875	-61,603046
10249,804688	-61,595276
10335,937500	-60,519932
10422,070313	-60,351467
10508,203125	-60,771061
10594,335938	-59,574528
10680,468750	-60,680904
10766,601563	-62,032204
10852,734375	-65,823929
10938,867188	-73,224297
11025,000000	-77,880943
11111,132813	-81,004860
11197,265625	-82,229698
11283,398438	-82,829254
11369,531250	-83,372345
11455,664063	-83,820892
11541,796875	-84,763077
11627,929688	-85,118561
11714,062500	-85,071793
11800,195313	-85,715034
11886,328125	-84,850792
11972,460938	-84,265808
12058,593750	-83,855515
12144,726563	-82,347778
12230,859375	-81,523865
12316,992188	-78,403091
12403,125000	-77,087105
12489,257813	-77,764305
12575,390625	-77,777191
12661,523438	-78,249756
12747,656250	-76,503876
12833,789063	-77,684044
12919,921875	-80,093735
13006,054688	-80,386345
13092,187500	-80,482300
13178,320313	-79,452522
13264,453125	-77,836067
13350,585938	-78,571808
13436,718750	-80,214859
13522,851563	-80,443436
13608,984375	-80,668098
13695,117188	-81,019234
13781,250000	-81,476028
13867,382813	-82,472542
13953,515625	-83,744560
14039,648438	-84,348839
14125,781250	-84,668327
14211,914063	-85,793350
14298,046875	-85,028801
14384,179688	-83,561844
14470,312500	-84,358910
14556,445313	-85,617821
14642,578125	-85,334435
14728,710938	-85,062531
14814,843750	-86,079353
14900,976563	-86,274986
14987,109375	-86,165382
15073,242188	-85,930641
15159,375000	-86,183838
15245,507813	-86,780556
15331,640625	-86,274979
15417,773438	-85,479691
15503,906250	-85,466331
15590,039063	-85,906639
15676,171875	-86,095352
15762,304688	-86,499710
15848,437500	-86,975151
15934,570313	-85,899063
16020,703125	-85,582230
16106,835938	-85,374405
16192,968750	-84,866234
16279,101563	-85,780739
16365,234375	-85,325012
16451,367188	-85,189400
16537,500000	-85,289642
16623,632813	-85,152130
16709,765625	-84,822220
16795,898438	-84,096733
16882,031250	-84,877968
16968,164063	-85,574654
17054,296875	-85,873611
17140,429688	-84,855919
17226,562500	-85,456177
17312,695313	-84,559845
17398,828125	-83,464455
17484,960938	-84,005119
17571,093750	-84,764679
17657,226563	-84,101151
17743,359375	-83,880333
17829,492188	-83,827530
17915,625000	-84,492325
18001,757813	-85,113159
18087,890625	-84,482643
18174,023438	-84,107796
18260,156250	-83,923889
18346,289063	-83,272240
18432,421875	-83,678757
18518,554688	-83,142456
18604,687500	-82,264832
18690,820313	-83,336327
18776,953125	-84,097481
18863,085938	-83,428772
18949,218750	-83,018745
19035,351563	-82,620560
19121,484375	-82,308800
19207,617188	-82,571594
19293,750000	-81,709030
19379,882813	-82,516129
19466,015625	-83,214195
19552,148438	-82,783638
19638,281250	-83,659271
19724,414063	-83,636292
19810,546875	-83,179161
19896,679688	-81,718056
19982,812500	-82,155853
20068,945313	-82,578125
20155,078125	-82,381760
20241,210938	-82,534241
20327,343750	-83,078545
20413,476563	-82,834991
20499,609375	-81,907013
20585,742188	-82,724464
20671,875000	-83,844292
20758,007813	-83,822350
20844,140625	-84,110313
20930,273438	-84,935432
21016,406250	-86,033440
21102,539063	-85,773674
21188,671875	-86,498711
21274,804688	-87,110428
21360,937500	-87,652931
21447,070313	-87,873138
21533,203125	-87,574455
21619,335938	-88,808655
