Frecuencia (Hz)	volumen (dB)
86,132813	-68,737862
172,265625	-59,768883
258,398438	-50,962391
344,531250	-28,785870
430,664063	-19,433851
516,796875	-22,345455
602,929688	-41,687912
689,062500	-50,146294
775,195313	-55,388737
861,328125	-50,453552
947,460938	-49,997196
1033,593750	-58,602386
1119,726563	-58,743679
1205,859375	-60,113480
1291,992188	-63,376156
1378,125000	-62,054268
1464,257813	-65,854507
1550,390625	-57,647362
1636,523438	-55,975212
1722,656250	-60,947590
1808,789063	-57,582294
1894,921875	-58,827686
1981,054688	-49,322636
2067,187500	-46,679089
2153,320313	-46,478565
2239,453125	-37,964924
2325,585938	-39,107323
2411,718750	-45,723282
2497,851563	-43,277313
2583,984375	-48,085850
2670,117188	-47,516579
2756,250000	-45,562561
2842,382813	-48,331501
2928,515625	-45,982719
3014,648438	-47,783024
3100,781250	-53,598549
3186,914063	-54,410652
3273,046875	-59,673164
3359,179688	-56,841557
3445,312500	-56,158627
3531,445313	-61,761913
3617,578125	-61,265900
3703,710938	-62,465740
3789,843750	-69,969604
3875,976563	-71,513283
3962,109375	-67,001160
4048,242188	-57,955334
4134,375000	-55,446404
4220,507813	-51,479862
4306,640625	-44,326611
4392,773438	-46,214817
4478,906250	-52,359638
4565,039063	-50,495144
4651,171875	-53,496475
4737,304688	-47,144337
4823,437500	-45,894318
4909,570313	-47,293625
4995,703125	-44,947872
5081,835938	-48,293522
5167,968750	-55,160713
5254,101563	-58,125298
5340,234375	-65,958961
5426,367188	-72,343452
5512,500000	-71,359810
5598,632813	-71,889313
5684,765625	-73,646027
5770,898438	-74,513008
5857,031250	-73,201828
5943,164063	-72,839157
6029,296875	-74,211220
6115,429688	-74,706551
6201,562500	-73,649925
6287,695313	-71,240479
6373,828125	-65,625076
6459,960938	-62,085964
6546,093750	-58,300781
6632,226563	-57,829456
6718,359375	-59,115471
6804,492188	-62,444859
6890,625000	-67,835777
6976,757813	-71,435043
7062,890625	-70,129723
7149,023438	-67,586235
7235,156250	-62,889969
7321,289063	-60,396152
7407,421875	-62,721310
7493,554688	-69,409737
7579,687500	-72,740898
7665,820313	-74,953842
7751,953125	-74,483849
7838,085938	-73,987251
7924,218750	-73,077347
8010,351563	-69,422249
8096,484375	-65,009438
8182,617188	-62,790974
8268,750000	-59,791920
8354,882813	-57,097862
8441,015625	-55,793739
8527,148438	-58,062630
8613,281250	-56,637505
8699,414063	-52,227753
8785,546875	-50,827755
8871,679688	-44,103874
