Frecuencia (Hz)	volumen (dB)
86,132813	-67,286606
172,265625	-54,341190
258,398438	-53,766640
344,531250	-41,093590
430,664063	-36,755459
516,796875	-43,638672
602,929688	-56,274796
689,062500	-58,371517
775,195313	-64,299980
861,328125	-63,524494
947,460938	-64,867592
1033,593750	-65,019981
1119,726563	-67,316742
1205,859375	-68,925812
1291,992188	-72,128403
1378,125000	-73,493698
1464,257813	-71,614235
1550,390625	-70,519646
1636,523438	-70,231346
1722,656250	-71,271477
1808,789063	-71,018707
1894,921875	-71,756485
1981,054688	-73,867416
2067,187500	-69,624306
2153,320313	-69,523560
2239,453125	-68,725311
2325,585938	-67,248169
2411,718750	-61,130424
2497,851563	-56,315933
2583,984375	-60,397724
2670,117188	-68,126556
2756,250000	-67,814644
2842,382813	-67,884926
2928,515625	-69,328941
3014,648438	-68,272247
3100,781250	-62,152584
3186,914063	-62,677597
3273,046875	-62,791031
3359,179688	-59,023781
3445,312500	-53,815353
3531,445313	-46,827061
3617,578125	-47,307224
3703,710938	-45,350536
3789,843750	-45,701057
3875,976563	-53,746155
3962,109375	-53,136654
4048,242188	-50,807117
4134,375000	-43,799767
4220,507813	-42,634399
4306,640625	-40,468124
4392,773438	-40,050789
4478,906250	-44,192463
4565,039063	-44,355270
4651,171875	-46,123787
4737,304688	-41,784477
4823,437500	-40,266178
4909,570313	-40,736111
4995,703125	-38,409328
5081,835938	-43,219452
5167,968750	-50,867023
5254,101563	-56,310822
5340,234375	-63,296745
5426,367188	-65,073830
5512,500000	-69,174461
5598,632813	-69,439697
5684,765625	-72,971252
5770,898438	-79,954628
5857,031250	-81,724777
5943,164063	-80,400200
6029,296875	-78,619034
6115,429688	-78,851463
6201,562500	-71,699791
6287,695313	-67,003395
6373,828125	-60,267521
6459,960938	-56,328598
6546,093750	-59,593391
6632,226563	-67,880188
6718,359375	-72,609070
6804,492188	-74,800743
6890,625000	-76,971153
6976,757813	-80,722389
7062,890625	-81,057739
7149,023438	-81,230286
7235,156250	-81,218849
7321,289063	-82,088203
7407,421875	-82,752396
7493,554688	-80,104424
7579,687500	-78,331223
7665,820313	-71,605080
7751,953125	-63,920647
7838,085938	-55,198364
7924,218750	-50,386841
8010,351563	-47,906128
8096,484375	-47,704159
8182,617188	-52,087883
8268,750000	-58,711021
8354,882813	-60,333344
8441,015625	-65,498825
8527,148438	-65,033989
8613,281250	-57,509636
8699,414063	-52,358292
8785,546875	-51,172588
8871,679688	-50,429386
8957,812500	-49,011448
9043,945313	-48,200119
9130,078125	-48,739426
9216,210938	-50,701595
9302,343750	-52,083122
9388,476563	-52,377728
9474,609375	-54,227749
9560,742188	-54,468750
9646,875000	-53,486557
9733,007813	-49,662754
9819,140625	-46,943203
9905,273438	-47,298786
9991,406250	-51,067902
10077,539063	-54,687416
10163,671875	-57,486752
10249,804688	-57,380630
10335,937500	-58,214828
10422,070313	-59,246063
10508,203125	-60,816978
10594,335938	-63,025173
10680,468750	-63,405479
10766,601563	-66,150063
10852,734375	-66,367104
10938,867188	-67,299629
11025,000000	-70,601433
11111,132813	-71,840508
11197,265625	-74,741028
11283,398438	-74,024490
11369,531250	-73,512047
11455,664063	-78,152756
11541,796875	-78,185432
11627,929688	-82,275185
11714,062500	-84,589775
11800,195313	-85,673676
11886,328125	-86,378876
11972,460938	-85,261078
12058,593750	-83,770981
12144,726563	-83,072319
12230,859375	-84,875450
12316,992188	-85,138580
12403,125000	-86,187958
12489,257813	-86,360199
12575,390625	-86,354988
12661,523438	-85,544975
12747,656250	-83,395653
12833,789063	-82,623245
12919,921875	-83,495705
13006,054688	-85,012375
13092,187500	-86,783669
13178,320313	-86,892700
13264,453125	-87,264252
13350,585938	-86,463181
13436,718750	-85,932907
13522,851563	-86,177063
13608,984375	-85,373154
13695,117188	-85,160805
13781,250000	-85,807678
13867,382813	-85,373093
13953,515625	-84,249153
14039,648438	-83,175041
14125,781250	-84,264114
14211,914063	-83,868965
14298,046875	-85,608810
14384,179688	-85,539307
14470,312500	-84,592094
14556,445313	-84,805107
14642,578125	-86,483337
14728,710938	-86,475365
14814,843750	-86,044441
14900,976563	-86,175430
14987,109375	-86,946754
15073,242188	-87,593239
15159,375000	-87,533318
15245,507813	-85,171349
15331,640625	-84,634064
15417,773438	-84,223396
15503,906250	-82,600639
15590,039063	-81,936424
15676,171875	-80,579086
15762,304688	-82,215286
15848,437500	-84,079185
15934,570313	-84,116943
16020,703125	-83,999229
16106,835938	-83,416664
16192,968750	-84,332306
16279,101563	-84,477280
16365,234375	-84,067474
16451,367188	-84,767548
16537,500000	-85,793266
16623,632813	-86,065796
16709,765625	-86,024811
16795,898438	-85,796432
16882,031250	-84,788048
16968,164063	-82,146004
17054,296875	-82,161797
17140,429688	-82,280403
17226,562500	-82,868507
17312,695313	-80,587387
17398,828125	-78,170708
17484,960938	-80,161972
17571,093750	-83,456123
17657,226563	-85,034546
17743,359375	-86,259399
17829,492188	-85,576813
17915,625000	-84,849197
18001,757813	-84,643829
18087,890625	-84,898674
18174,023438	-84,018417
18260,156250	-83,211380
18346,289063	-83,897354
18432,421875	-83,043549
18518,554688	-82,437233
18604,687500	-83,953705
18690,820313	-83,673012
18776,953125	-84,186905
18863,085938	-82,963409
18949,218750	-82,723083
19035,351563	-83,481995
19121,484375	-84,254478
19207,617188	-83,583031
19293,750000	-82,318947
19379,882813	-81,990845
19466,015625	-82,499535
19552,148438	-82,134995
19638,281250	-82,349564
