Frecuencia (Hz)	volumen (dB)
86,132813	-71,682976
172,265625	-60,605518
258,398438	-48,617004
344,531250	-30,503229
430,664063	-27,153336
516,796875	-28,756441
602,929688	-25,867792
689,062500	-33,042629
775,195313	-41,962109
861,328125	-38,559544
947,460938	-31,506401
1033,593750	-32,254219
1119,726563	-43,530102
1205,859375	-48,910164
1291,992188	-51,671730
1378,125000	-53,046379
1464,257813	-57,435291
1550,390625	-62,713726
1636,523438	-65,494598
1722,656250	-66,984047
1808,789063	-68,680046
1894,921875	-69,804619
1981,054688	-70,604118
2067,187500	-70,908516
2153,320313	-70,356812
2239,453125	-70,284309
2325,585938	-68,041924
2411,718750	-67,693329
2497,851563	-65,954086
2583,984375	-61,856503
2670,117188	-57,420658
2756,250000	-56,311146
2842,382813	-61,230896
2928,515625	-69,196129
3014,648438	-70,894119
3100,781250	-73,561890
3186,914063	-71,864914
3273,046875	-70,745895
3359,179688	-70,833649
3445,312500	-69,845360
3531,445313	-65,382713
3617,578125	-63,440811
3703,710938	-62,389969
3789,843750	-59,561882
3875,976563	-60,464668
3962,109375	-64,730667
4048,242188	-70,065376
4134,375000	-69,122925
4220,507813	-71,658607
4306,640625	-73,675568
4392,773438	-69,536995
4478,906250	-62,175377
4565,039063	-58,128067
4651,171875	-53,338943
4737,304688	-50,723446
4823,437500	-48,759293
4909,570313	-48,614758
4995,703125	-53,741539
5081,835938	-59,865639
5167,968750	-61,006245
5254,101563	-59,597767
5340,234375	-61,328804
5426,367188	-67,841179
5512,500000	-73,096161
5598,632813	-76,729446
5684,765625	-78,603462
5770,898438	-80,734833
5857,031250	-80,037262
5943,164063	-79,530983
6029,296875	-79,259293
6115,429688	-79,442978
6201,562500	-80,300812
6287,695313	-79,942673
6373,828125	-80,458084
6459,960938	-82,071815
6546,093750	-82,137115
6632,226563	-81,322861
6718,359375	-81,534660
6804,492188	-81,064865
6890,625000	-79,300476
6976,757813	-76,645584
7062,890625	-74,124100
7149,023438	-64,875404
7235,156250	-58,960724
7321,289063	-53,597736
7407,421875	-53,194187
7493,554688	-57,092625
7579,687500	-57,665329
7665,820313	-57,440792
7751,953125	-58,081779
7838,085938	-58,573570
7924,218750	-56,178398
8010,351563	-54,146893
8096,484375	-50,724865
8182,617188	-49,750187
8268,750000	-52,563736
8354,882813	-56,980736
8441,015625	-60,924824
8527,148438	-62,966026
8613,281250	-67,083458
8699,414063	-72,856209
8785,546875	-78,870087
8871,679688	-78,192139
8957,812500	-78,459076
9043,945313	-78,285309
9130,078125	-74,098625
9216,210938	-67,495239
9302,343750	-65,975037
9388,476563	-68,461441
9474,609375	-68,819183
9560,742188	-69,863136
9646,875000	-70,891899
9733,007813	-68,796074
9819,140625	-65,927811
9905,273438	-65,268265
9991,406250	-65,465698
10077,539063	-67,316109
10163,671875	-69,205956
10249,804688	-65,633743
10335,937500	-64,639000
10422,070313	-63,673191
10508,203125	-66,135780
10594,335938	-68,837433
10680,468750	-71,430161
10766,601563	-77,790733
10852,734375	-82,749519
10938,867188	-81,159393
11025,000000	-78,989052
11111,132813	-77,447563
11197,265625	-74,564590
11283,398438	-71,228828
11369,531250	-67,996582
11455,664063	-69,494217
11541,796875	-72,384911
11627,929688	-72,644264
11714,062500	-71,643028
11800,195313	-72,497787
11886,328125	-77,230957
11972,460938	-81,693550
12058,593750	-78,957275
12144,726563	-80,005798
12230,859375	-83,747566
12316,992188	-79,680336
12403,125000	-74,516594
12489,257813	-71,318932
12575,390625	-73,725174
12661,523438	-80,794945
12747,656250	-84,886414
12833,789063	-85,291855
12919,921875	-85,735176
13006,054688	-85,775986
13092,187500	-86,073433
13178,320313	-86,257408
13264,453125	-86,796005
13350,585938	-88,356056
13436,718750	-87,544304
13522,851563	-86,952415
13608,984375	-86,671768
13695,117188	-86,267998
13781,250000	-85,623848
13867,382813	-86,405334
13953,515625	-86,259041
14039,648438	-85,907593
14125,781250	-85,061295
14211,914063	-85,198662
14298,046875	-83,717140
14384,179688	-83,305580
14470,312500	-85,092125
14556,445313	-84,879341
14642,578125	-86,431229
14728,710938	-87,304802
14814,843750	-86,609268
14900,976563	-86,865822
14987,109375	-86,682442
15073,242188	-86,354599
15159,375000	-86,621475
15245,507813	-87,107185
15331,640625	-87,193924
15417,773438	-86,564621
15503,906250	-86,141182
15590,039063	-84,554291
15676,171875	-85,022331
15762,304688	-85,652100
