Frecuencia (Hz)	volumen (dB)
86,132813	-68,005623
172,265625	-60,533661
258,398438	-38,944786
344,531250	-28,574190
430,664063	-29,919260
516,796875	-41,349854
602,929688	-48,858654
689,062500	-55,021851
775,195313	-54,649418
861,328125	-46,278809
947,460938	-43,999359
1033,593750	-52,431042
1119,726563	-63,967590
1205,859375	-67,028038
1291,992188	-67,199356
1378,125000	-66,307404
1464,257813	-69,470993
1550,390625	-74,006165
1636,523438	-71,691139
1722,656250	-72,363472
1808,789063	-73,307182
1894,921875	-73,736824
1981,054688	-73,132210
2067,187500	-71,180138
2153,320313	-72,646782
2239,453125	-72,160194
2325,585938	-71,728477
2411,718750	-68,443214
2497,851563	-66,548904
2583,984375	-63,962048
2670,117188	-67,274529
2756,250000	-73,447250
2842,382813	-74,786835
2928,515625	-75,005363
3014,648438	-75,811211
3100,781250	-75,976654
3186,914063	-78,392677
3273,046875	-78,190056
3359,179688	-76,575294
3445,312500	-77,499046
3531,445313	-78,589073
3617,578125	-77,984131
3703,710938	-79,485191
3789,843750	-78,222641
3875,976563	-76,960091
3962,109375	-78,452972
4048,242188	-79,560036
4134,375000	-79,993858
4220,507813	-78,571785
4306,640625	-78,956917
4392,773438	-78,066933
4478,906250	-77,643242
4565,039063	-74,220566
4651,171875	-66,872353
4737,304688	-58,228836
4823,437500	-50,866722
4909,570313	-48,380611
4995,703125	-50,977924
5081,835938	-62,787472
5167,968750	-75,480896
5254,101563	-76,677177
5340,234375	-75,150620
5426,367188	-76,752289
5512,500000	-79,420288
5598,632813	-81,371307
5684,765625	-80,953430
5770,898438	-82,592697
5857,031250	-81,932388
5943,164063	-81,443710
6029,296875	-80,579216
6115,429688	-81,471703
6201,562500	-81,222740
6287,695313	-80,296883
6373,828125	-82,726891
6459,960938	-81,648499
6546,093750	-82,013916
6632,226563	-80,902206
6718,359375	-82,016792
6804,492188	-80,906685
6890,625000	-78,628304
6976,757813	-76,480072
7062,890625	-75,066757
7149,023438	-75,462372
7235,156250	-75,240982
7321,289063	-76,856636
7407,421875	-80,167175
7493,554688	-79,197105
7579,687500	-79,821587
7665,820313	-78,754448
7751,953125	-80,459816
7838,085938	-79,382645
7924,218750	-78,226868
8010,351563	-75,919281
8096,484375	-68,839180
8182,617188	-61,779861
8268,750000	-59,193859
8354,882813	-57,463947
8441,015625	-57,444118
8527,148438	-64,272957
8613,281250	-72,050491
8699,414063	-75,820518
8785,546875	-76,026237
8871,679688	-75,224190
8957,812500	-73,353371
9043,945313	-72,630676
9130,078125	-72,198891
9216,210938	-72,943871
9302,343750	-77,563911
9388,476563	-80,352921
9474,609375	-81,239868
9560,742188	-81,502502
9646,875000	-80,082214
9733,007813	-79,848984
9819,140625	-77,586258
9905,273438	-79,676498
9991,406250	-82,326263
10077,539063	-82,147377
10163,671875	-80,864357
10249,804688	-78,833008
10335,937500	-78,091766
10422,070313	-78,679298
10508,203125	-80,426529
10594,335938	-80,356125
10680,468750	-83,139252
10766,601563	-84,263039
10852,734375	-84,164169
10938,867188	-83,827271
11025,000000	-83,650795
11111,132813	-80,002754
11197,265625	-77,075607
11283,398438	-77,231819
11369,531250	-78,451103
11455,664063	-75,185791
11541,796875	-70,618019
11627,929688	-70,195610
11714,062500	-70,817505
11800,195313	-73,832191
11886,328125	-76,702530
11972,460938	-80,824234
12058,593750	-81,524902
12144,726563	-83,464745
12230,859375	-83,956123
12316,992188	-83,996849
12403,125000	-79,467377
12489,257813	-73,542641
12575,390625	-70,670349
12661,523438	-73,171623
12747,656250	-75,750854
12833,789063	-81,066032
12919,921875	-85,693924
13006,054688	-86,265869
13092,187500	-84,105049
13178,320313	-81,905220
13264,453125	-82,209572
13350,585938	-84,275429
13436,718750	-85,023544
13522,851563	-86,304756
13608,984375	-87,138657
13695,117188	-86,641373
13781,250000	-85,092018
13867,382813	-85,512856
13953,515625	-86,331352
14039,648438	-87,952911
14125,781250	-88,143906
14211,914063	-88,114540
14298,046875	-87,118645
14384,179688	-87,204460
14470,312500	-86,751762
14556,445313	-87,146141
14642,578125	-87,047363
14728,710938	-86,958542
14814,843750	-87,291245
14900,976563	-86,516640
14987,109375	-85,613098
15073,242188	-85,609619
15159,375000	-85,005577
15245,507813	-86,064224
15331,640625	-86,738441
15417,773438	-85,443398
15503,906250	-83,574310
15590,039063	-84,907204
15676,171875	-85,733963
15762,304688	-85,775009
15848,437500	-85,973457
15934,570313	-86,268402
16020,703125	-85,070160
16106,835938	-84,798019
16192,968750	-86,185295
16279,101563	-85,688789
16365,234375	-85,694412
16451,367188	-85,916069
16537,500000	-86,382568
16623,632813	-86,292648
16709,765625	-85,463394
16795,898438	-84,746696
16882,031250	-84,444046
16968,164063	-83,943085
17054,296875	-83,945152
17140,429688	-84,541840
17226,562500	-84,300476
17312,695313	-83,683792
17398,828125	-83,004555
17484,960938	-84,142876
17571,093750	-84,572311
17657,226563	-84,162697
17743,359375	-84,944382
17829,492188	-84,238983
17915,625000	-84,423874
18001,757813	-85,337120
18087,890625	-83,692680
18174,023438	-83,758400
18260,156250	-84,233070
18346,289063	-84,262604
18432,421875	-84,569443
18518,554688	-82,543732
18604,687500	-83,667274
18690,820313	-86,537209
18776,953125	-84,831802
18863,085938	-83,023621
18949,218750	-84,218323
19035,351563	-84,023567
19121,484375	-85,035866
19207,617188	-84,044670
19293,750000	-82,293152
19379,882813	-82,981934
19466,015625	-84,253624
19552,148438	-83,419357
19638,281250	-81,984161
19724,414063	-82,185959
19810,546875	-83,076859
19896,679688	-83,140511
19982,812500	-81,792206
20068,945313	-81,512970
20155,078125	-81,991821
20241,210938	-81,983276
20327,343750	-81,846542
20413,476563	-83,435188
20499,609375	-83,779900
20585,742188	-83,698860
20671,875000	-83,223434
20758,007813	-83,988609
20844,140625	-84,315765
20930,273438	-84,092896
21016,406250	-86,316048
21102,539063	-87,034981
21188,671875	-87,101471
21274,804688	-86,354263
21360,937500	-88,138077
21447,070313	-88,127953
21533,203125	-87,945999
21619,335938	-88,033310
21705,468750	-89,191391
21791,601563	-90,841362
21877,734375	-90,843361
21963,867188	-91,312492
